agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v2.fs.longdecoy,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.758364312267658,0.5633032553862674,1.3216675676539253
v2.fs.longdecoy,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5821917808219177,0.6216409073227307,1.2038326881446484
v2.fs.longdecoy,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5278810408921932,0.5064649924929581,1.0343460333851513
v2.fs.longdecoy,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5821917808219177,0.5934625891898391,1.1756543700117565
v2.fs.longdecoy,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6059479553903345,0.6129170642732372,1.2188650196635717
v2.fs.longdecoy,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5821917808219177,0.6254427985021273,1.207634579324045
v2.fs.longdecoy,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7100371747211895,0.5764946399923949,1.2865318147135845
v2.fs.longdecoy,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6198630136986301,0.5787683786336344,1.1986313923322645
v2.fs.longdecoy,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5724907063197026,0.5113106476628066,1.0838013539825093
v2.fs.longdecoy,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5856164383561644,0.5018555255880914,1.0874719639442558
v2.fs.longdecoy,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6249789597710823,0.5703438195136252,1.1953227792847074
v2.fs.longdecoy,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5841039740064985,0.5659643375166226,1.150068311523121
v2.fs.longdecoy,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.40944285473825953,0.5243400210320592,0.9337828757703188
v2.fs.longdecoy,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.7270682329417647,0.5055105694369273,1.232578802378692
v2.fs.longdecoy,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6342366604948662,0.5753263023703648,1.209562962865231
v2.fs.longdecoy,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5841039740064985,0.5680039488820621,1.1521079228885607
v2.fs.longdecoy,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6204342703248611,0.5567979855070005,1.1772322558318615
v2.fs.longdecoy,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6377155711072233,0.5429509412099036,1.180666512317127
v2.fs.longdecoy,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.538966503955563,0.5294944906796257,1.0684609946351888
v2.fs.longdecoy,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5798550362409398,0.7268283149612258,1.3066833512021656
v2.fs.longdecoy,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6857,0.5735566101442944,1.2592566101442944
v2.fs.longdecoy,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.6620000000000001,0.5746270155475959,1.236627015547596
v2.fs.longdecoy,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.6775,0.5690022683138775,1.2465022683138773
v2.fs.longdecoy,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.8210000000000002,0.5641358103476785,1.3851358103476785
v2.fs.longdecoy,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7281500000000001,0.5884883798978453,1.3166383798978454
v2.fs.longdecoy,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.8616000000000001,0.57739526512652,1.43899526512652
v2.fs.longdecoy,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7375,0.5678608135821184,1.3053608135821184
v2.fs.longdecoy,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.8616000000000001,0.5671472761370276,1.4287472761370277
v2.fs.longdecoy,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.76015,0.0,0.76015
v2.fs.longdecoy,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.9273000000000001,1.0,1.9273
v2.fs.longdecoy,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.588888888888889,0.5524279883999597,1.1413168772888485
v2.fs.longdecoy,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.7500000000000001,0.5552369975409477,1.305236997540948
v2.fs.longdecoy,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.588888888888889,0.5324746361902045,1.1213635250790936
v2.fs.longdecoy,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.7500000000000001,0.5407943643465203,1.2907943643465203
v2.fs.longdecoy,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.588888888888889,0.5513301466717466,1.1402190355606354
v2.fs.longdecoy,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.7500000000000001,0.5888977795668315,1.3388977795668318
v2.fs.longdecoy,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6722222222222223,0.5143810824483835,1.186603304670606
v2.fs.longdecoy,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.7500000000000001,0.5455742228698959,1.2955742228698959
v2.fs.longdecoy,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.48055555555555557,0.0,0.48055555555555557
v2.fs.longdecoy,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.7194444444444446,0.5069281354739261,1.2263725799183707
v2.fs.longdecoy,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6666666666666667,0.5869878963683193,1.253654563034986
v2.fs.longdecoy,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.fs.longdecoy,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.33986928104575165,0.5281535458072069,0.8680228268529586
v2.fs.longdecoy,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.fs.longdecoy,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6666666666666667,0.5957962682015665,1.2624629348682332
v2.fs.longdecoy,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5121951219512194,0.6095424071643696,1.121737529115589
v2.fs.longdecoy,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.761437908496732,0.573369181862367,1.334807090359099
v2.fs.longdecoy,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.5121951219512194,0.619338592609253,1.1315337145604722
v2.fs.longdecoy,sparring,ISBTAcquisition,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.6503267973856209,0.5043106876500899,1.1546374850357108
v2.fs.longdecoy,sparring,ISBTAcquisition,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.7134146341463414,0.7456107376137808,1.4590253717601223
v2.fs.longdecoy,sparring,Laptop,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.5775524426410947,0.5813132702017423,1.158865712842837
v2.fs.longdecoy,sparring,Laptop,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5136317604069089,0.8047425354672005,1.3183742958741096
v2.fs.longdecoy,sparring,Laptop,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5322039151951294,0.4892588928704614,1.0214628080655908
v2.fs.longdecoy,sparring,Laptop,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5136317604069089,0.7765202275674727,1.2901519879743817
v2.fs.longdecoy,sparring,Laptop,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.5775524426410947,0.5610838338855313,1.138636276526626
v2.fs.longdecoy,sparring,Laptop,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5136317604069089,0.5738327728381676,1.0874645332450763
v2.fs.longdecoy,sparring,Laptop,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.5775524426410947,0.5864134216194083,1.1639658642605029
v2.fs.longdecoy,sparring,Laptop,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.5136317604069089,0.5709181176169766,1.0845498780238856
v2.fs.longdecoy,sparring,Laptop,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.6355078168702297,0.2662404404313185,0.9017482573015483
v2.fs.longdecoy,sparring,Laptop,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.6100349320454895,1.0,1.6100349320454894
v2.fs.longdecoy,sparring,NiceOrDie,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.1654761904761905,0.6,0.7654761904761904
v2.fs.longdecoy,sparring,NiceOrDie,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.1654761904761905,0.55,0.7154761904761905
v2.fs.longdecoy,sparring,NiceOrDie,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.0,0.5263279498407772,0.5263279498407772
v2.fs.longdecoy,sparring,NiceOrDie,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.0,0.4759591794226542,0.4759591794226542
v2.fs.longdecoy,sparring,NiceOrDie,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.1654761904761905,0.6,0.7654761904761904
v2.fs.longdecoy,sparring,NiceOrDie,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.1654761904761905,0.6,0.7654761904761904
v2.fs.longdecoy,sparring,NiceOrDie,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.1654761904761905,0.55,0.7154761904761905
v2.fs.longdecoy,sparring,NiceOrDie,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.1654761904761905,0.5620204102886728,0.7274966007648633
v2.fs.longdecoy,sparring,NiceOrDie,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.1654761904761905,0.0,0.1654761904761905
v2.fs.longdecoy,sparring,NiceOrDie,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.1654761904761905,1.0,1.1654761904761906
