agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v2.fs.min38,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.758364312267658,0.535459159610153,1.293823471877811
v2.fs.min38,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.6352739726027397,0.5885645908656079,1.2238385634683473
v2.fs.min38,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5427509293680297,0.4952402453896221,1.0379911747576518
v2.fs.min38,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5821917808219177,0.6154750278032424,1.19766680862516
v2.fs.min38,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.5669144981412639,0.6044331299284087,1.1713476280696726
v2.fs.min38,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5821917808219177,0.628850404451403,1.2110421852733206
v2.fs.min38,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7100371747211895,0.5405135886920849,1.2505507634132744
v2.fs.min38,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6232876712328766,0.5627936403228664,1.186081311555743
v2.fs.min38,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5799256505576208,0.5030590052447943,1.082984655802415
v2.fs.min38,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.6575342465753424,0.7340616216098546,1.3915958681851968
v2.fs.min38,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6249789597710823,0.5535062986641477,1.17848525843523
v2.fs.min38,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5841039740064985,0.5613937019013042,1.1454976759078026
v2.fs.min38,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.4759299781181619,0.5224773574655258,0.9984073355836878
v2.fs.min38,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.6555861034741316,0.5393451307861188,1.1949312342602503
v2.fs.min38,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7557650227234473,0.5676744258591697,1.323439448582617
v2.fs.min38,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5841039740064985,0.563604899483011,1.1477088734895093
v2.fs.min38,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6204342703248611,0.552384576481047,1.172818846805908
v2.fs.min38,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6247188202949263,0.5554160260237387,1.1801348463186652
v2.fs.min38,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.47702407002188174,0.0,0.47702407002188174
v2.fs.min38,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5119970007498126,0.7418426782822707,1.2538396790320832
v2.fs.min38,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6818500000000001,0.5582708463390476,1.2401208463390478
v2.fs.min38,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.7378000000000001,0.5802269292795731,1.3180269292795732
v2.fs.min38,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.6682,0.5657700428081005,1.2339700428081004
v2.fs.min38,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.6430000000000001,0.5702741498497981,1.213274149849798
v2.fs.min38,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.72865,0.571981185422975,1.300631185422975
v2.fs.min38,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.661,0.5669241621019985,1.2279241621019985
v2.fs.min38,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6265000000000001,0.5667234580462464,1.1932234580462464
v2.fs.min38,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.7598000000000001,0.5687144148870331,1.3285144148870334
v2.fs.min38,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.82815,0.0,0.82815
v2.fs.min38,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.9503,1.0,1.9503
v2.fs.min38,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.588888888888889,0.5474035082068565,1.1362923970957457
v2.fs.min38,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.7500000000000001,0.584195610982452,1.3341956109824522
v2.fs.min38,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.588888888888889,0.541535679484116,1.130424568373005
v2.fs.min38,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.7500000000000001,0.529803674195877,1.2798036741958772
v2.fs.min38,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.588888888888889,0.5550469322592223,1.1439358211481112
v2.fs.min38,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.7500000000000001,0.6052019053212667,1.355201905321267
v2.fs.min38,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6138888888888889,0.5206962170061336,1.1345851058950225
v2.fs.min38,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.7500000000000001,0.5641347017829049,1.314134701782905
v2.fs.min38,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.4694444444444445,0.0,0.4694444444444445
v2.fs.min38,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5638888888888889,0.4937757239268703,1.0576646128157594
v2.fs.min38,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6666666666666667,0.5747939784363849,1.2414606451030517
v2.fs.min38,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5121951219512194,0.8084695230277561,1.3206646449789756
v2.fs.min38,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.33986928104575165,0.5051282314666858,0.8449975125124374
v2.fs.min38,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.fs.min38,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6274509803921569,0.5837592501996951,1.211210230591852
v2.fs.min38,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5121951219512194,0.8047712035821848,1.3169663255334043
v2.fs.min38,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.761437908496732,0.5564634147515971,1.317901323248329
v2.fs.min38,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
