agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v2.fs.minoffers,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.737918215613383,0.5187138874482863,1.2566321030616692
v2.fs.minoffers,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5821917808219177,0.6207730409604404,1.202964821782358
v2.fs.minoffers,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5427509293680297,0.4971310002357512,1.039881929603781
v2.fs.minoffers,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5821917808219177,0.5937473344242047,1.1759391152461225
v2.fs.minoffers,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6765799256505576,0.561763297954167,1.2383432236047245
v2.fs.minoffers,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5821917808219177,0.6200541605721563,1.202245941394074
v2.fs.minoffers,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7100371747211895,0.5375259520133875,1.247563126734577
v2.fs.minoffers,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6198630136986301,0.5766392866598347,1.1965023003584647
v2.fs.minoffers,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5966542750929368,0.5126759828820235,1.1093302579749604
v2.fs.minoffers,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5496575342465753,0.7651645875615394,1.3148221218081146
v2.fs.minoffers,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6249789597710823,0.5471946203459199,1.1721735801170023
v2.fs.minoffers,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5841039740064985,0.5649276947942531,1.1490316688007516
v2.fs.minoffers,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.3978286483756943,0.5182119504017635,0.9160405987774578
v2.fs.minoffers,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5914771307173208,0.5321028537505196,1.1235799844678405
v2.fs.minoffers,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7672109072546709,0.5598381561227577,1.3270490633774288
v2.fs.minoffers,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5841039740064985,0.5756412723853265,1.159745246391825
v2.fs.minoffers,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6204342703248611,0.5478007507050302,1.1682350210298913
v2.fs.minoffers,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6247188202949263,0.5435221979908368,1.1682410182857632
v2.fs.minoffers,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.48443023060090884,0.2664181043169056,0.7508483349178143
v2.fs.minoffers,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5254936265933516,0.4646064184820429,0.9901000450753946
v2.fs.minoffers,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.7511500000000001,0.5634008531530308,1.314550853153031
v2.fs.minoffers,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.8496000000000001,0.5500440650945454,1.3996440650945454
v2.fs.minoffers,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.67415,0.5576497216456437,1.2317997216456438
v2.fs.minoffers,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.74,0.5876818445574686,1.3276818445574685
v2.fs.minoffers,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.8587,0.5855998705907806,1.4442998705907806
v2.fs.minoffers,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.8616000000000001,0.5644966195167838,1.426096619516784
v2.fs.minoffers,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.8519000000000001,0.5731555015930032,1.425055501593003
v2.fs.minoffers,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.7546000000000002,0.5680414761016581,1.3226414761016583
v2.fs.minoffers,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.6139,0.0,0.6139
v2.fs.minoffers,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.8985,0.7509967542570117,1.6494967542570116
v2.fs.minoffers,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.588888888888889,0.5418132896174159,1.130702178506305
v2.fs.minoffers,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.7500000000000001,0.5528964395918808,1.302896439591881
v2.fs.minoffers,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.588888888888889,0.5389883122348142,1.1278772011237033
v2.fs.minoffers,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.7500000000000001,0.5345567256485761,1.2845567256485761
v2.fs.minoffers,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.588888888888889,0.5495398703579562,1.1384287592468452
v2.fs.minoffers,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.7500000000000001,0.58891130635022,1.3389113063502203
v2.fs.minoffers,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.588888888888889,0.5340561608117114,1.1229450497006004
v2.fs.minoffers,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.7500000000000001,0.5669507067910925,1.3169507067910926
v2.fs.minoffers,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.6166666666666667,0.2567900219068255,0.8734566885734922
v2.fs.minoffers,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.6972222222222222,0.7583772463869356,1.455599468609158
v2.fs.minoffers,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6666666666666667,0.5615622120717081,1.2282288787383748
v2.fs.minoffers,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.fs.minoffers,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.33986928104575165,0.5131253857651685,0.8529946668109202
v2.fs.minoffers,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.fs.minoffers,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6928104575163399,0.5728915327541646,1.2657019902705047
v2.fs.minoffers,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5121951219512194,0.8047712035821848,1.3169663255334043
v2.fs.minoffers,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7026143790849673,0.5483264639636058,1.2509408430485731
v2.fs.minoffers,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.fs.minoffers,sparring,ISBTAcquisition,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5588235294117647,0.5189685187904379,1.0777920482022028
