match_type,scenario,agent,agent_mode,opponent,opponent_mode,family,agent_first,runs,advantage,concealing,score
panel,Amsterdam,NoamNeg,gradient,SimpleNegotiator,reverse-ufun + time concede,example,first,2,0.5929368029739777,0.5579766267265234,1.150913429700501
panel,Amsterdam,NoamNeg,gradient,SimpleNegotiator,reverse-ufun + time concede,example,second,2,0.6558219178082191,0.575500777331647,1.2313226951398661
panel,Amsterdam,NoamNeg,gradient,BOANeg,BOA: time offer + Smith + ACNext,example,first,2,0.7100371747211895,0.4639416799509445,1.173978854672134
panel,Amsterdam,NoamNeg,gradient,BOANeg,BOA: time offer + Smith + ACNext,example,second,2,0.6198630136986301,0.4921957311283762,1.1120587448270065
panel,Amsterdam,NoamNeg,gradient,MAPNeg,"MAP: same stack, acceptance_first",example,first,2,0.7100371747211895,0.46783080696543144,1.1778679816866209
panel,Amsterdam,NoamNeg,gradient,MAPNeg,"MAP: same stack, acceptance_first",example,second,2,0.732876712328767,0.494152958796078,1.227029671124845
panel,Amsterdam,NoamNeg,gradient,BoulwareTBNegotiator,slow concession (Boulware),time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,NoamNeg,gradient,BoulwareTBNegotiator,slow concession (Boulware),time-based,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,NoamNeg,gradient,ConcederTBNegotiator,fast concession,time-based,first,2,0.7546468401486989,1.0,1.7546468401486988
panel,Amsterdam,NoamNeg,gradient,ConcederTBNegotiator,fast concession,time-based,second,2,0.6181506849315068,1.0,1.6181506849315068
panel,Amsterdam,NoamNeg,gradient,LinearTBNegotiator,linear time concession,time-based,first,2,0.503717472118959,1.0,1.503717472118959
panel,Amsterdam,NoamNeg,gradient,LinearTBNegotiator,linear time concession,time-based,second,2,0.7243150684931507,1.0,1.7243150684931507
panel,Amsterdam,NoamNeg,gradient,ToughNegotiator,"hard line, slow give",time-based,first,2,0.30855018587360594,1.0,1.308550185873606
panel,Amsterdam,NoamNeg,gradient,ToughNegotiator,"hard line, slow give",time-based,second,2,0.47260273972602734,1.0,1.4726027397260273
panel,Amsterdam,NoamNeg,gradient,MiCRONegotiator,MiCRO (Genius-style),genius-style,first,2,0.5576208178438662,1.0,1.5576208178438662
panel,Amsterdam,NoamNeg,gradient,MiCRONegotiator,MiCRO (Genius-style),genius-style,second,2,0.6369863013698629,1.0,1.636986301369863
panel,Amsterdam,NoamNeg,gradient,TimeBasedNegotiator,generic time-based,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,NoamNeg,gradient,TimeBasedNegotiator,generic time-based,time-based,second,2,0.6455479452054794,1.0,1.6455479452054793
panel,Amsterdam,NoamNeg,gradient,AspirationNegotiator,aspiration-based,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,NoamNeg,gradient,AspirationNegotiator,aspiration-based,time-based,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,NoamNeg,gradient,HybridNegotiator,hybrid time + utility,hybrid,first,2,0.5223048327137547,1.0,1.5223048327137547
panel,Amsterdam,NoamNeg,gradient,HybridNegotiator,hybrid time + utility,hybrid,second,2,0.6712328767123287,1.0,1.6712328767123288
panel,Amsterdam,NoamNeg,gradient,RandomNegotiator,random rational offers,baseline,first,2,0.6858736059479553,1.0,1.6858736059479553
panel,Amsterdam,NoamNeg,gradient,RandomNegotiator,random rational offers,baseline,second,2,0.6267123287671234,1.0,1.6267123287671232
panel,Amsterdam,NoamNeg,gradient,FirstOfferOrientedTBNegotiator,anchors on first offer,oriented,first,2,0.7007434944237918,1.0,1.7007434944237918
panel,Amsterdam,NoamNeg,gradient,FirstOfferOrientedTBNegotiator,anchors on first offer,oriented,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,NoamNeg,gradient,LastOfferOrientedTBNegotiator,follows last offer,oriented,first,2,0.7434944237918215,1.0,1.7434944237918215
panel,Amsterdam,NoamNeg,gradient,LastOfferOrientedTBNegotiator,follows last offer,oriented,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,NoamNeg,gradient,BestOfferOrientedTBNegotiator,tracks best offer seen,oriented,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,NoamNeg,gradient,BestOfferOrientedTBNegotiator,tracks best offer seen,oriented,second,2,0.6215753424657534,1.0,1.6215753424657535
panel,Amsterdam,NoamNegFull,full,SimpleNegotiator,reverse-ufun + time concede,example,first,2,0.4907063197026022,0.5594194193844314,1.0501257390870335
panel,Amsterdam,NoamNegFull,full,SimpleNegotiator,reverse-ufun + time concede,example,second,2,0.631849315068493,0.5741448747925301,1.2059941898610231
panel,Amsterdam,NoamNegFull,full,BOANeg,BOA: time offer + Smith + ACNext,example,first,2,0.7100371747211895,0.517733143100374,1.2277703178215635
panel,Amsterdam,NoamNegFull,full,BOANeg,BOA: time offer + Smith + ACNext,example,second,2,0.6198630136986301,0.5398018616708748,1.159664875369505
panel,Amsterdam,NoamNegFull,full,MAPNeg,"MAP: same stack, acceptance_first",example,first,2,0.7100371747211895,0.5157722905010909,1.2258094652222806
panel,Amsterdam,NoamNegFull,full,MAPNeg,"MAP: same stack, acceptance_first",example,second,2,0.6198630136986301,0.5423798740233368,1.1622428877219668
panel,Amsterdam,NoamNegFull,full,BoulwareTBNegotiator,slow concession (Boulware),time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,NoamNegFull,full,BoulwareTBNegotiator,slow concession (Boulware),time-based,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,NoamNegFull,full,ConcederTBNegotiator,fast concession,time-based,first,2,0.7546468401486989,1.0,1.7546468401486988
panel,Amsterdam,NoamNegFull,full,ConcederTBNegotiator,fast concession,time-based,second,2,0.6267123287671232,1.0,1.6267123287671232
panel,Amsterdam,NoamNegFull,full,LinearTBNegotiator,linear time concession,time-based,first,2,0.5464684014869888,1.0,1.546468401486989
panel,Amsterdam,NoamNegFull,full,LinearTBNegotiator,linear time concession,time-based,second,2,0.6849315068493149,1.0,1.684931506849315
panel,Amsterdam,NoamNegFull,full,ToughNegotiator,"hard line, slow give",time-based,first,2,0.30855018587360594,1.0,1.308550185873606
panel,Amsterdam,NoamNegFull,full,ToughNegotiator,"hard line, slow give",time-based,second,2,0.47260273972602734,1.0,1.4726027397260273
panel,Amsterdam,NoamNegFull,full,MiCRONegotiator,MiCRO (Genius-style),genius-style,first,2,0.6059479553903345,1.0,1.6059479553903344
panel,Amsterdam,NoamNegFull,full,MiCRONegotiator,MiCRO (Genius-style),genius-style,second,2,0.6044520547945205,1.0,1.6044520547945205
panel,Amsterdam,NoamNegFull,full,TimeBasedNegotiator,generic time-based,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
