match_type,scenario,agent,agent_mode,opponent,opponent_mode,family,agent_first,runs,advantage,concealing,score
panel,Amsterdam,Agent360,gradient,SimpleNegotiator,reverse-ufun + time concede,example,first,2,0.6412639405204461,0.5494353280243951,1.1906992685448412
panel,Amsterdam,Agent360,gradient,SimpleNegotiator,reverse-ufun + time concede,example,second,2,0.809931506849315,0.5805425859483382,1.3904740927976533
panel,Amsterdam,Agent360,gradient,BOANeg,BOA: time offer + Smith + ACNext,example,first,2,0.7100371747211895,0.4648124091284531,1.1748495838496427
panel,Amsterdam,Agent360,gradient,BOANeg,BOA: time offer + Smith + ACNext,example,second,2,0.6198630136986301,0.4870797456238414,1.1069427593224714
panel,Amsterdam,Agent360,gradient,MAPNeg,"MAP: same stack, acceptance_first",example,first,2,0.7100371747211895,0.46544382666629114,1.1754810013874808
panel,Amsterdam,Agent360,gradient,MAPNeg,"MAP: same stack, acceptance_first",example,second,2,0.6198630136986301,0.4967268628123704,1.1165898765110005
panel,Amsterdam,Agent360,gradient,BoulwareTBNegotiator,slow concession (Boulware),time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,BoulwareTBNegotiator,slow concession (Boulware),time-based,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360,gradient,ConcederTBNegotiator,fast concession,time-based,first,2,0.7546468401486989,1.0,1.7546468401486988
panel,Amsterdam,Agent360,gradient,ConcederTBNegotiator,fast concession,time-based,second,2,0.660958904109589,1.0,1.660958904109589
panel,Amsterdam,Agent360,gradient,LinearTBNegotiator,linear time concession,time-based,first,2,0.5855018587360594,1.0,1.5855018587360594
panel,Amsterdam,Agent360,gradient,LinearTBNegotiator,linear time concession,time-based,second,2,0.5496575342465753,1.0,1.5496575342465753
panel,Amsterdam,Agent360,gradient,ToughNegotiator,"hard line, slow give",time-based,first,2,0.30855018587360594,1.0,1.308550185873606
panel,Amsterdam,Agent360,gradient,ToughNegotiator,"hard line, slow give",time-based,second,2,0.47260273972602734,1.0,1.4726027397260273
panel,Amsterdam,Agent360,gradient,MiCRONegotiator,MiCRO (Genius-style),genius-style,first,2,0.5817843866171004,1.0,1.5817843866171004
panel,Amsterdam,Agent360,gradient,MiCRONegotiator,MiCRO (Genius-style),genius-style,second,2,0.6369863013698629,1.0,1.636986301369863
panel,Amsterdam,Agent360,gradient,TimeBasedNegotiator,generic time-based,time-based,first,2,0.7434944237918215,1.0,1.7434944237918215
panel,Amsterdam,Agent360,gradient,TimeBasedNegotiator,generic time-based,time-based,second,2,0.6215753424657534,1.0,1.6215753424657535
panel,Amsterdam,Agent360,gradient,AspirationNegotiator,aspiration-based,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,AspirationNegotiator,aspiration-based,time-based,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360,gradient,HybridNegotiator,hybrid time + utility,hybrid,first,2,0.6301115241635686,1.0,1.6301115241635689
panel,Amsterdam,Agent360,gradient,HybridNegotiator,hybrid time + utility,hybrid,second,2,0.5291095890410958,1.0,1.529109589041096
panel,Amsterdam,Agent360,gradient,RandomNegotiator,random rational offers,baseline,first,2,0.6654275092936803,1.0,1.6654275092936803
panel,Amsterdam,Agent360,gradient,RandomNegotiator,random rational offers,baseline,second,2,0.8013698630136985,1.0,1.8013698630136985
panel,Amsterdam,Agent360,gradient,FirstOfferOrientedTBNegotiator,anchors on first offer,oriented,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,FirstOfferOrientedTBNegotiator,anchors on first offer,oriented,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360,gradient,LastOfferOrientedTBNegotiator,follows last offer,oriented,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,LastOfferOrientedTBNegotiator,follows last offer,oriented,second,2,0.6815068493150684,1.0,1.6815068493150684
panel,Amsterdam,Agent360,gradient,BestOfferOrientedTBNegotiator,tracks best offer seen,oriented,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,BestOfferOrientedTBNegotiator,tracks best offer seen,oriented,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360Full,full,SimpleNegotiator,reverse-ufun + time concede,example,first,2,0.4795539033457249,0.55516063330665,1.034714536652375
panel,Amsterdam,Agent360Full,full,SimpleNegotiator,reverse-ufun + time concede,example,second,2,0.631849315068493,0.5741448747925301,1.2059941898610231
