match_type,scenario,agent,agent_mode,opponent,opponent_mode,family,agent_first,runs,advantage,concealing,score
panel,Amsterdam,Agent360,gradient,SimpleNegotiator,reverse-ufun + time concede,example,first,2,0.6617100371747211,0.5573958031091523,1.2191058402838735
panel,Amsterdam,Agent360,gradient,SimpleNegotiator,reverse-ufun + time concede,example,second,2,0.809931506849315,0.5805425859483382,1.3904740927976533
panel,Amsterdam,Agent360,gradient,BOANeg,BOA: time offer + Smith + ACNext,example,first,2,0.7100371747211895,0.4644994872955389,1.1745366620167284
panel,Amsterdam,Agent360,gradient,BOANeg,BOA: time offer + Smith + ACNext,example,second,2,0.6198630136986301,0.4983075691029701,1.1181705828016002
panel,Amsterdam,Agent360,gradient,MAPNeg,"MAP: same stack, acceptance_first",example,first,2,0.7100371747211895,0.4663431500338422,1.1763803247550317
panel,Amsterdam,Agent360,gradient,MAPNeg,"MAP: same stack, acceptance_first",example,second,2,0.6780821917808219,0.48769417465276865,1.1657763664335905
panel,Amsterdam,Agent360,gradient,BoulwareTBNegotiator,slow concession (Boulware),time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,BoulwareTBNegotiator,slow concession (Boulware),time-based,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360,gradient,ConcederTBNegotiator,fast concession,time-based,first,2,0.7546468401486989,1.0,1.7546468401486988
panel,Amsterdam,Agent360,gradient,ConcederTBNegotiator,fast concession,time-based,second,2,0.6267123287671232,1.0,1.6267123287671232
panel,Amsterdam,Agent360,gradient,LinearTBNegotiator,linear time concession,time-based,first,2,0.5520446096654275,1.0,1.5520446096654275
panel,Amsterdam,Agent360,gradient,LinearTBNegotiator,linear time concession,time-based,second,2,0.631849315068493,1.0,1.631849315068493
panel,Amsterdam,Agent360,gradient,ToughNegotiator,"hard line, slow give",time-based,first,2,0.30855018587360594,1.0,1.308550185873606
panel,Amsterdam,Agent360,gradient,ToughNegotiator,"hard line, slow give",time-based,second,2,0.47260273972602734,1.0,1.4726027397260273
panel,Amsterdam,Agent360,gradient,MiCRONegotiator,MiCRO (Genius-style),genius-style,first,2,0.5669144981412639,1.0,1.566914498141264
panel,Amsterdam,Agent360,gradient,MiCRONegotiator,MiCRO (Genius-style),genius-style,second,2,0.6592465753424657,1.0,1.6592465753424657
panel,Amsterdam,Agent360,gradient,TimeBasedNegotiator,generic time-based,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,TimeBasedNegotiator,generic time-based,time-based,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360,gradient,AspirationNegotiator,aspiration-based,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,AspirationNegotiator,aspiration-based,time-based,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360,gradient,HybridNegotiator,hybrid time + utility,hybrid,first,2,0.5836431226765799,1.0,1.58364312267658
panel,Amsterdam,Agent360,gradient,HybridNegotiator,hybrid time + utility,hybrid,second,2,0.5650684931506849,1.0,1.5650684931506849
panel,Amsterdam,Agent360,gradient,RandomNegotiator,random rational offers,baseline,first,2,0.2490706319702602,0.5,0.7490706319702602
panel,Amsterdam,Agent360,gradient,RandomNegotiator,random rational offers,baseline,second,2,0.6695205479452054,1.0,1.6695205479452055
panel,Amsterdam,Agent360,gradient,NaiveTitForTatNegotiator,tit-for-tat,behavioral,first,2,0.7620817843866171,0.5491064919080011,1.311188276294618
panel,Amsterdam,Agent360,gradient,NaiveTitForTatNegotiator,tit-for-tat,behavioral,second,2,0.6421232876712328,0.5619781390189438,1.2041014266901766
panel,Amsterdam,Agent360,gradient,SimpleTitForTatNegotiator,simple tit-for-tat,behavioral,first,2,0.671003717472119,0.5483313635255272,1.2193350809976462
panel,Amsterdam,Agent360,gradient,SimpleTitForTatNegotiator,simple tit-for-tat,behavioral,second,2,0.75,0.5583440360445874,1.3083440360445873
panel,Amsterdam,Agent360,gradient,FirstOfferOrientedTBNegotiator,anchors on first offer,oriented,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,FirstOfferOrientedTBNegotiator,anchors on first offer,oriented,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360,gradient,LastOfferOrientedTBNegotiator,follows last offer,oriented,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,LastOfferOrientedTBNegotiator,follows last offer,oriented,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360,gradient,BestOfferOrientedTBNegotiator,tracks best offer seen,oriented,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,BestOfferOrientedTBNegotiator,tracks best offer seen,oriented,second,2,0.6198630136986301,1.0,1.61986301369863
