scenario,opponent,group,agent_first,repeat,our_adv,our_conc,our_score,opp_adv,opp_conc,opp_score,win,tie
Amsterdam,BOA,learner,first,0,0.7100371747211895,0.537674330383653,1.2477115051048426,0.7945205479452053,0.46232566961634697,1.2568462175615522,0,0
Amsterdam,BOA,learner,first,1,0.7100371747211895,0.5366540863358754,1.246691261057065,0.7945205479452053,0.46334591366412453,1.2578664616093298,0,0
Amsterdam,BOA,learner,second,0,0.7808219178082192,0.5856178384776588,1.366439756285878,0.7360594795539034,0.41438216152234114,1.1504416410762446,1,0
Amsterdam,BOA,learner,second,1,0.6198630136986301,0.5700512918649926,1.1899143055636228,0.7137546468401487,0.42994870813500735,1.143703354975156,1,0
Amsterdam,MAP,learner,first,0,0.7100371747211895,0.5430965748228137,1.2531337495440034,0.7945205479452053,0.45690342517718624,1.2514239731223915,1,0
Amsterdam,MAP,learner,first,1,0.7100371747211895,0.5507444633185138,1.2607816380397034,0.7945205479452053,0.44925553668148616,1.2437760846266914,1,0
Amsterdam,MAP,learner,second,0,0.7363013698630136,0.5873570775124768,1.3236584473754904,0.8215613382899628,0.4126429224875233,1.2342042607774861,1,0
Amsterdam,MAP,learner,second,1,0.6198630136986301,0.5839923008202185,1.2038553145188486,0.7137546468401487,0.4160076991797816,1.1297623460199302,1,0
Amsterdam,MiCRO,learner,first,0,0.6059479553903345,1.0,1.6059479553903344,0.9349315068493151,0.0,0.9349315068493151,1,0
Amsterdam,MiCRO,learner,first,1,0.5278810408921932,1.0,1.5278810408921932,0.9315068493150684,0.0,0.9315068493150684,1,0
Amsterdam,MiCRO,learner,second,0,0.5342465753424657,1.0,1.5342465753424657,0.9107806691449815,0.0,0.9107806691449815,1,0
Amsterdam,MiCRO,learner,second,1,0.5821917808219177,1.0,1.5821917808219177,0.9553903345724908,0.0,0.9553903345724908,1,0
Amsterdam,Boulware,stress,first,0,0.7100371747211895,1.0,1.7100371747211895,0.7945205479452053,0.0,0.7945205479452053,1,0
Amsterdam,Boulware,stress,first,1,0.7100371747211895,1.0,1.7100371747211895,0.7945205479452053,0.0,0.7945205479452053,1,0
Amsterdam,Boulware,stress,second,0,0.6198630136986301,1.0,1.61986301369863,0.7137546468401487,0.0,0.7137546468401487,1,0
Amsterdam,Boulware,stress,second,1,0.6198630136986301,1.0,1.61986301369863,0.7137546468401487,0.0,0.7137546468401487,1,0
Amsterdam,Conceder,stress,first,0,0.7546468401486989,1.0,1.7546468401486988,0.6849315068493149,0.0,0.6849315068493149,1,0
Amsterdam,Conceder,stress,first,1,0.7546468401486989,1.0,1.7546468401486988,0.6849315068493149,0.0,0.6849315068493149,1,0
Amsterdam,Conceder,stress,second,0,0.6267123287671232,1.0,1.6267123287671232,0.6282527881040891,0.0,0.6282527881040891,1,0
Amsterdam,Conceder,stress,second,1,0.5616438356164384,1.0,1.5616438356164384,0.587360594795539,0.0,0.587360594795539,1,0
Amsterdam,Linear,stress,first,0,0.4795539033457249,1.0,1.479553903345725,0.910958904109589,0.0,0.910958904109589,1,0
Amsterdam,Linear,stress,first,1,0.4907063197026022,1.0,1.4907063197026023,0.8630136986301369,0.0,0.8630136986301369,1,0
Amsterdam,Linear,stress,second,0,0.6849315068493149,1.0,1.684931506849315,0.7546468401486989,0.0,0.7546468401486989,1,0
Amsterdam,Linear,stress,second,1,0.6849315068493149,1.0,1.684931506849315,0.7546468401486989,0.0,0.7546468401486989,1,0
Amsterdam,Tough,stress,first,0,0.30855018587360594,1.0,1.308550185873606,1.0,0.0,1.0,1,0
Amsterdam,Tough,stress,first,1,0.30855018587360594,1.0,1.308550185873606,1.0,0.0,1.0,1,0
Amsterdam,Tough,stress,second,0,0.47260273972602734,1.0,1.4726027397260273,1.0,0.0,1.0,1,0
Amsterdam,Tough,stress,second,1,0.47260273972602734,1.0,1.4726027397260273,1.0,0.0,1.0,1,0
Amsterdam,ShochanLite,deceptive,first,0,0.6431226765799256,0.5132393891187037,1.1563620656986293,0.5890410958904109,0.4867606108812963,1.0758017067717072,1,0
Amsterdam,ShochanLite,deceptive,first,1,0.5650557620817843,0.5311136299282784,1.0961693920100628,0.5034246575342466,0.4688863700717215,0.9723110276059681,1,0
Amsterdam,ShochanLite,deceptive,second,0,0.6404109589041096,0.5528426701444035,1.1932536290485132,0.5130111524163569,0.4471573298555965,0.9601684822719534,1,0
Amsterdam,ShochanLite,deceptive,second,1,0.5753424657534245,0.5440030267190858,1.1193454924725104,0.5241635687732342,0.4559969732809142,0.9801605420541484,1,0
Amsterdam,RentingLite,deceptive,first,0,0.6579925650557621,0.4999651247368315,1.1579576897925936,0.5924657534246576,0.5000348752631685,1.092500628687826,1,0
Amsterdam,RentingLite,deceptive,first,1,0.5650557620817844,0.5318810490130588,1.0969368110948432,0.5582191780821919,0.4681189509869412,1.0263381290691331,1,0
Amsterdam,RentingLite,deceptive,second,0,0.6712328767123287,0.5396326353631156,1.2108655120754444,0.5278810408921932,0.46036736463688455,0.9882484055290778,1,0
Amsterdam,RentingLite,deceptive,second,1,0.7054794520547945,1.0,1.7054794520547945,0.4795539033457249,0.0,0.4795539033457249,1,0
Amsterdam,LearnerStrong,deceptive,first,0,0.7100371747211895,0.5380229416425144,1.248060116363704,0.7945205479452053,0.46197705835748565,1.256497606302691,0,0
Amsterdam,LearnerStrong,deceptive,first,1,0.7100371747211895,0.5343521265809449,1.2443893013021343,0.7945205479452053,0.4656478734190551,1.2601684213642605,0,0
Amsterdam,LearnerStrong,deceptive,second,0,0.6198630136986301,0.5998215672154468,1.2196845809140768,0.7137546468401487,0.4001784327845533,1.113933079624702,1,0
Amsterdam,LearnerStrong,deceptive,second,1,0.6267123287671232,0.5863353567328453,1.2130476854999686,0.866171003717472,0.41366464326715474,1.2798356469846268,0,0
Camera,BOA,learner,first,0,0.6204342703248611,0.5238441706146616,1.1442784409395226,0.7425643589102725,0.4761558293853383,1.218720188295611,0,0
Camera,BOA,learner,first,1,0.6204342703248611,0.5359987124870603,1.1564329828119213,0.7425643589102725,0.4640012875129397,1.2065656464232122,0,0
Camera,BOA,learner,second,0,0.6100974756310923,0.545675650822013,1.1557731264531053,0.9569096111765696,0.454324349177987,1.4112339603545565,0,0
Camera,BOA,learner,second,1,0.5988502874281431,0.5544455344620114,1.1532958218901546,0.9074229927621613,0.4455544655379886,1.35297745830015,0,0
Camera,MAP,learner,first,0,0.6204342703248611,0.5421077831478949,1.162542053472756,0.7425643589102725,0.4578922168521051,1.2004565757623777,0,0
Camera,MAP,learner,first,1,0.6249789597710823,0.5316578953814378,1.1566368551525201,0.7820544863784055,0.4683421046185622,1.2503965909969676,0,0
Camera,MAP,learner,second,0,0.6653336665833542,0.5503907119713893,1.2157243785547436,0.858273018010436,0.4496092880286107,1.3078823060390468,0,0
Camera,MAP,learner,second,1,0.6653336665833542,0.5388518037308573,1.2041854703142114,0.858273018010436,0.4611481962691427,1.3194212142795787,0,0
Camera,MiCRO,learner,first,0,0.5194411715199462,1.0,1.5194411715199463,0.8500374906273432,0.0,0.8500374906273432,1,0
Camera,MiCRO,learner,first,1,0.5194411715199462,1.0,1.5194411715199463,0.8500374906273432,0.0,0.8500374906273432,1,0
Camera,MiCRO,learner,second,0,0.5841039740064985,1.0,1.5841039740064984,0.979801380239017,0.0,0.979801380239017,1,0
Camera,MiCRO,learner,second,1,0.5841039740064985,1.0,1.5841039740064984,0.979801380239017,0.0,0.979801380239017,1,0
Camera,Boulware,stress,first,0,0.6204342703248611,1.0,1.620434270324861,0.7425643589102725,0.0,0.7425643589102725,1,0
Camera,Boulware,stress,first,1,0.6204342703248611,1.0,1.620434270324861,0.7425643589102725,0.0,0.7425643589102725,1,0
Camera,Boulware,stress,second,0,0.6653336665833542,1.0,1.6653336665833542,0.858273018010436,0.0,0.858273018010436,1,0
Camera,Boulware,stress,second,1,0.7270682329417647,1.0,1.7270682329417646,0.8872243730011782,0.0,0.8872243730011782,1,0
Camera,Conceder,stress,first,0,0.8845312236997138,1.0,1.8845312236997138,0.6248437890527369,0.0,0.6248437890527369,1,0
Camera,Conceder,stress,first,1,0.8845312236997138,1.0,1.8845312236997138,0.6248437890527369,0.0,0.6248437890527369,1,0
Camera,Conceder,stress,second,0,0.6543364158960261,1.0,1.654336415896026,0.585423329405824,0.0,0.585423329405824,1,0
