scenario,opponent,opponent_class,strategy,family,agent_first,runs,advantage,concealing,score
Amsterdam,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,first,1,0.4907063197026022,0.5594194193844314,1.0501257390870335
Amsterdam,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,second,1,0.6849315068493149,0.5707866039204179,1.2557181107697328
Amsterdam,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,first,1,0.7100371747211895,0.5333301415445355,1.243367316265725
Amsterdam,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,second,1,0.6198630136986301,0.5744867429694199,1.1943497566680499
Amsterdam,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,first,1,0.7100371747211895,0.5534222116233405,1.26345938634453
Amsterdam,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,second,1,0.6198630136986301,0.5772522471830526,1.1971152608816826
Amsterdam,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,first,1,0.7100371747211895,1.0,1.7100371747211895
Amsterdam,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,second,1,0.6198630136986301,1.0,1.61986301369863
Amsterdam,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,first,1,0.7546468401486989,1.0,1.7546468401486988
Amsterdam,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,second,1,0.6267123287671232,1.0,1.6267123287671232
Amsterdam,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,first,1,0.4907063197026022,1.0,1.4907063197026023
Amsterdam,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,second,1,0.5136986301369862,1.0,1.5136986301369864
Amsterdam,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,first,1,0.30855018587360594,1.0,1.308550185873606
Amsterdam,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,second,1,0.47260273972602734,1.0,1.4726027397260273
Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,first,1,0.6059479553903345,1.0,1.6059479553903344
Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,second,1,0.5821917808219177,1.0,1.5821917808219177
Camera,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,first,1,0.6241373506143746,0.6192829402465182,1.2434202908608927
Camera,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,second,1,0.48187953011747064,0.6105873437719443,1.092466873889415
Camera,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,first,1,0.6204342703248611,0.5382348944819333,1.1586691648067944
Camera,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,second,1,0.6100974756310923,0.5726688717929217,1.182766347424014
Camera,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,first,1,0.6204342703248611,0.5274690461473519,1.147903316472213
Camera,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,second,1,0.6248437890527369,0.5599126594886825,1.1847564485414193
Camera,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,first,1,0.5324019525332435,1.0,1.5324019525332435
Camera,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,second,1,0.6100974756310923,1.0,1.6100974756310924
Camera,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,first,1,0.8845312236997138,1.0,1.8845312236997138
Camera,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,second,1,0.49162709322669335,1.0,1.4916270932266933
Camera,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,first,1,0.6241373506143746,1.0,1.6241373506143746
Camera,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,second,1,0.5988502874281431,1.0,1.5988502874281432
Camera,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,first,1,0.26931493014644,1.0,1.26931493014644
Camera,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,second,1,0.4558860284928768,1.0,1.4558860284928767
Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,first,1,0.5194411715199462,1.0,1.5194411715199463
Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,second,1,0.5841039740064985,1.0,1.5841039740064984
Car,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,first,1,0.9397000000000001,0.0,0.9397000000000001
Car,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,second,1,0.7176000000000001,0.4919636673487162,1.2095636673487165
Car,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,first,1,0.8519000000000001,0.5558619102623625,1.4077619102623626
Car,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,second,1,0.6580000000000001,0.5666543366695674,1.2246543366695675
Car,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,first,1,0.8519000000000001,0.5806078359665338,1.432507835966534
Car,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,second,1,0.8616000000000001,0.5680309129384067,1.4296309129384068
Car,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,first,1,0.7031000000000001,1.0,1.7031
Car,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,second,1,0.8616000000000001,1.0,1.8616000000000001
Car,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,first,1,0.7499000000000001,0.0,0.7499000000000001
Car,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,second,1,0.9787999999999999,1.0,1.9788
Car,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,first,1,0.7354,1.0,1.7354
Car,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,second,1,0.7316000000000001,1.0,1.7316000000000003
