agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v3,deceptive,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.5697026022304832,0.5154684276458195,1.0851710298763027
v3,deceptive,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.6130136986301369,0.6512802285735898,1.2642939272037268
v3,deceptive,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.6561338289962826,0.5128153420717732,1.1689491710680557
v3,deceptive,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.6772260273972602,0.6557697354088557,1.332995762806116
v3,deceptive,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.5715613382899628,0.5309145273417181,1.1024758656316809
v3,deceptive,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.658390410958904,0.6466891609060833,1.3050795718649875
v3,deceptive,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.7100371747211895,0.555341061989468,1.2653782367106574
v3,deceptive,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.6806506849315068,0.5645522975813293,1.2452029825128361
v3,deceptive,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.5920074349442379,0.5014625374278735,1.0934699723721115
v3,deceptive,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.5642123287671232,0.5098827593993065,1.0740950881664297
v3,deceptive,learner,Amsterdam,BOANeg,examples.boa.BOANeg,example,first,4,0.7100371747211895,0.5491261146444297,1.2591632893656193
v3,deceptive,learner,Amsterdam,BOANeg,examples.boa.BOANeg,example,second,4,0.6327054794520548,0.5738343500131261,1.206539829465181
v3,deceptive,learner,Amsterdam,MAPNeg,examples.map.MAPNeg,example,first,4,0.7267657992565055,0.5388960538567588,1.2656618531132642
v3,deceptive,learner,Amsterdam,MAPNeg,examples.map.MAPNeg,example,second,4,0.6601027397260273,0.5738876645153901,1.2339904042414176
v3,deceptive,learner,Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.6059479553903345,1.0,1.6059479553903344
v3,deceptive,learner,Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.6369863013698629,1.0,1.6369863013698627
v3,deceptive,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.6915081636088201,0.5281318979461682,1.2196400615549883
v3,deceptive,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.6254061484628843,0.6235667521981216,1.248972900661006
v3,deceptive,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.6242215115300455,0.5364929189384414,1.1607144304684867
v3,deceptive,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.6374031492126968,0.49237057366138176,1.1297737228740785
v3,deceptive,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.6091146271671435,0.5303946727895912,1.139509299956735
v3,deceptive,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.6502749312671832,0.7397267113563778,1.390001642623561
v3,deceptive,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.5984261908769567,0.5371613746831339,1.1355875655600904
v3,deceptive,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.6109722569357662,0.5494151750845642,1.1603874320203302
v3,deceptive,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.592829489984851,0.26137245436835177,0.8542019443532027
v3,deceptive,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.6022869282679331,0.6083656910038958,1.210652619271829
v3,deceptive,learner,Camera,BOANeg,examples.boa.BOANeg,example,first,4,0.5984261908769567,0.5420099211472036,1.1404361120241604
v3,deceptive,learner,Camera,BOANeg,examples.boa.BOANeg,example,second,4,0.6019745063734068,0.5418320843784074,1.1438065907518142
v3,deceptive,learner,Camera,MAPNeg,examples.map.MAPNeg,example,first,4,0.6540986365931661,0.523558953702503,1.1776575902956692
v3,deceptive,learner,Camera,MAPNeg,examples.map.MAPNeg,example,second,4,0.6080979755061235,0.544670931378026,1.1527689068841496
v3,deceptive,learner,Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.4940666554452112,1.0,1.4940666554452111
v3,deceptive,learner,Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.5841039740064985,1.0,1.5841039740064984
v3,deceptive,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.86675,0.5072738261990941,1.3740238261990942
v3,deceptive,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.9297500000000001,0.8663196609882186,1.7960696609882185
v3,deceptive,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.8397500000000001,0.512390015658387,1.3521400156583874
v3,deceptive,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.9329000000000001,1.0,1.9329
v3,deceptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.8894000000000002,0.4729755846546129,1.3623755846546133
v3,deceptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.8196500000000001,0.5019109428041109,1.321560942804111
v3,deceptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.728075,0.5598230204732985,1.2878980204732986
v3,deceptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.8616000000000001,0.5660105425104839,1.4276105425104841
v3,deceptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.757125,0.0,0.757125
v3,deceptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.9163000000000001,1.0,1.9163000000000001
v3,deceptive,learner,Car,BOANeg,examples.boa.BOANeg,example,first,4,0.8080499999999999,0.5804285450212482,1.3884785450212482
v3,deceptive,learner,Car,BOANeg,examples.boa.BOANeg,example,second,4,0.8107000000000002,0.5754868816958695,1.3861868816958696
v3,deceptive,learner,Car,MAPNeg,examples.map.MAPNeg,example,first,4,0.7517,0.5684977563315357,1.3201977563315357
v3,deceptive,learner,Car,MAPNeg,examples.map.MAPNeg,example,second,4,0.8107000000000002,0.5677785537366944,1.3784785537366946
v3,deceptive,learner,Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.5899000000000001,1.0,1.5899
v3,deceptive,learner,Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.7060000000000001,1.0,1.706
v3,deceptive,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.7069444444444446,0.49881848962048525,1.2057629340649298
v3,deceptive,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.6263888888888889,0.5023570930164143,1.1287459819053032
v3,deceptive,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.6041666666666667,0.4897606760773784,1.093927342744045
v3,deceptive,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.6791666666666666,0.8799529494621889,1.5591196161288554
v3,deceptive,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.5736111111111112,0.5193513023663373,1.0929624134774485
v3,deceptive,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.8569444444444445,0.7462132188262709,1.6031576632707152
v3,deceptive,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.6472222222222224,0.5009215664895661,1.1481437887117885
v3,deceptive,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.7500000000000001,0.5583100559492441,1.3083100559492442
v3,deceptive,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.5375000000000001,0.3964865417613135,0.9339865417613137
v3,deceptive,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.6375,0.6193986598346987,1.2568986598346987
v3,deceptive,learner,Grocery,BOANeg,examples.boa.BOANeg,example,first,4,0.6180555555555557,0.4948676871547735,1.112923242710329
v3,deceptive,learner,Grocery,BOANeg,examples.boa.BOANeg,example,second,4,0.7500000000000001,0.5530139285806459,1.3030139285806461
v3,deceptive,learner,Grocery,MAPNeg,examples.map.MAPNeg,example,first,4,0.676388888888889,0.4977687732658147,1.1741576621547036
v3,deceptive,learner,Grocery,MAPNeg,examples.map.MAPNeg,example,second,4,0.7500000000000001,0.5548574151953171,1.3048574151953172
v3,deceptive,learner,Grocery,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.588888888888889,1.0,1.588888888888889
v3,deceptive,learner,Grocery,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.7500000000000001,1.0,1.75
v3,deceptive,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.7859477124183005,0.5168265338033716,1.3027742462216723
v3,deceptive,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.7591463414634145,0.7657749094891545,1.524921250952569
v3,deceptive,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.803921568627451,0.5149383224335421,1.3188598910609932
v3,deceptive,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.7286585365853657,1.0,1.7286585365853657
