agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
gradient,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,1,0.5947955390334573,0.46763521052422485,1.0624307495576821
gradient,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,1,0.6883561643835615,0.4919142601165489,1.1802704245001103
gradient,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,1,0.6059479553903345,0.44968498093947984,1.0556329363298143
gradient,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,1,0.5821917808219177,0.484619038558675,1.0668108193805927
gradient,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,1,0.7397769516728625,0.45491811631415247,1.194695067987015
gradient,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,1,0.5821917808219177,0.5306922172124845,1.1128839980344023
gradient,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,1,0.7100371747211895,0.46084193777193155,1.170879112493121
gradient,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,1,0.6198630136986301,0.5020105206745947,1.1218735343732247
gradient,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,1,0.6951672862453532,0.44008728593378604,1.1352545721791392
gradient,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,1,0.5205479452054794,0.5053794618386299,1.0259274070441093
gradient,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,1,0.6249789597710823,0.4802766656059519,1.1052556253770343
gradient,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,1,0.5841039740064985,0.4920671554487813,1.0761711294552798
gradient,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,1,0.5324019525332435,0.47260858537658895,1.0050105379098324
gradient,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,1,0.5841039740064985,0.5693055445988006,1.153409518605299
gradient,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,1,0.7527352297592999,0.47105647065249695,1.2237917004117969
gradient,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,1,0.5841039740064985,0.48972969020768226,1.0738336642141808
gradient,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,1,0.6204342703248611,0.47283006069245886,1.09326433101732
gradient,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,1,0.6653336665833542,0.4934673379337157,1.15880100451707
gradient,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,1,0.7885877798350446,0.4439412276615406,1.2325290074965851
gradient,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,1,0.5453636590852288,1.0,1.5453636590852287
gradient,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,1,0.7483000000000001,0.4903781749965765,1.2386781749965765
