agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
reverse,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,1,0.5947955390334573,0.4581958186771019,1.0529913577105592
reverse,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,1,0.6883561643835615,0.505279028414998,1.1936351927985596
reverse,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,1,0.6059479553903345,0.45355423004082035,1.0595021854311548
reverse,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,1,0.5821917808219177,0.4994900535454098,1.0816818343673276
reverse,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,1,0.7472118959107806,0.4586270344413358,1.2058389303521164
reverse,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,1,0.6712328767123288,0.5044953042712261,1.175728180983555
reverse,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,1,0.7100371747211895,0.469008704463567,1.1790458791847565
reverse,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,1,0.6198630136986301,0.5036201401690975,1.1234831538677277
reverse,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,1,0.8698884758364314,0.0,0.8698884758364314
reverse,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,1,0.9143835616438356,0.3834596360714323,1.297843197715268
reverse,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,1,0.6249789597710823,0.4785472600100872,1.1035262197811695
reverse,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,1,0.6653336665833542,0.49709082429762824,1.1624244908809824
reverse,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,1,0.5324019525332435,0.4844096091350952,1.0168115616683386
reverse,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,1,0.5841039740064985,0.4787043211854704,1.0628082951919688
reverse,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,1,0.7527352297592999,0.4862654468769753,1.2390006766362751
reverse,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,1,0.6928267933016746,0.5012694646262977,1.1940962579279724
reverse,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,1,0.6204342703248611,0.4881300136072893,1.1085642839321503
reverse,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,1,0.6653336665833542,0.49321011186139996,1.1585437784447543
reverse,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,1,0.8872243730011782,0.4161613693872741,1.3033857423884523
reverse,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,1,0.9250187453136717,0.3896642549357826,1.3146830002494543
reverse,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,1,0.7483000000000001,0.47112255698013566,1.2194225569801358
reverse,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,1,0.8496000000000001,0.5092344666611205,1.3588344666611207
reverse,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,1,0.7422000000000001,0.4668232467607928,1.2090232467607929
reverse,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,1,0.8220000000000002,0.4886107929911299,1.3106107929911301
reverse,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,1,0.8587,0.4780696420304479,1.3367696420304478
reverse,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,1,0.8616000000000001,0.5197468102875593,1.3813468102875595
reverse,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,1,0.8519000000000001,0.4818964322336763,1.3337964322336764
reverse,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,1,0.8616000000000001,0.5096917658705766,1.3712917658705768
