agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v2,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6486988847583643,0.5592351592882997,1.207934044046664
v2,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.6352739726027397,0.5790984205416052,1.2143723931443449
v2,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5278810408921932,0.5004665715705117,1.0283476124627047
v2,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5821917808219177,0.603174421124532,1.1853662019464497
v2,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6375464684014869,0.5615243530256565,1.1990708214271435
v2,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5821917808219177,0.6339617993338271,1.216153580155745
v2,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7100371747211895,0.5350818046731439,1.2451189793943336
v2,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6198630136986301,0.5669047703656693,1.1867677840642994
v2,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.6541095890410957,0.4895483349598827,1.1436579240009785
v2,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5582191780821917,0.5105223151708687,1.0687414932530603
v2,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6249789597710823,0.550791782640133,1.1757707424112154
v2,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5841039740064985,0.5625324150881466,1.1466363890946452
v2,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5324019525332435,0.5132958685283016,1.045697821061545
v2,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.6629592601849539,0.5033815315957402,1.1663407917806943
v2,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7702407002188183,0.5584631617416094,1.328703861960428
v2,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5841039740064985,0.5687847978958218,1.1528887719023202
v2,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6204342703248611,0.5480144811981233,1.1684487515229844
v2,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6044738815296177,0.541431043755209,1.1459049252848266
