agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v2,deceptive,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.5594795539033457,0.5212733838997041,1.0807529378030498
v2,deceptive,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.595890410958904,0.5122537274690704,1.1081441384279747
v2,deceptive,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.553903345724907,0.5185689975834391,1.0724723433083463
v2,deceptive,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.7174657534246575,0.5346315611218078,1.2520973145464651
v2,deceptive,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.5799256505576208,0.522566733037982,1.1024923835956026
v2,deceptive,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5993150684931506,0.5354741426347435,1.134789211127894
v2,deceptive,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7100371747211895,0.5506037198874371,1.2606408946086265
v2,deceptive,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6455479452054794,0.5712528463682431,1.2168007915737227
v2,deceptive,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5907534246575342,0.4831306634686757,1.07388408812621
v2,deceptive,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5702054794520548,0.7673972196925116,1.3376026991445662
v2,deceptive,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.5886214442013129,0.533491098711012,1.1221125429123249
v2,deceptive,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.6482129467633092,0.739481424870717,1.3876943716340262
v2,deceptive,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.588958087863996,0.5281359521850156,1.1170940400490115
v2,deceptive,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.6822044488877781,0.7562699844327907,1.4384744333205688
v2,deceptive,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6659653257027437,0.538830315509177,1.2047956412119207
v2,deceptive,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.6218445388652838,0.46639995669773376,1.0882444955630177
v2,deceptive,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6204342703248611,0.5513450624373459,1.171779332762207
v2,deceptive,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.5532366908272932,0.556101202605241,1.1093378934325344
v2,deceptive,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5963509122719322,0.7245306936362942,1.3208816059082262
v2,deceptive,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5666083479130217,1.0,1.566608347913022
v2,deceptive,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.8165,0.5396641496482097,1.3561641496482097
v2,deceptive,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.8462000000000001,0.7476175121018043,1.5938175121018046
v2,deceptive,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.8687500000000001,0.5306337109095394,1.3993837109095395
v2,deceptive,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.9148000000000002,0.7719466111560545,1.6867466111560547
v2,deceptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.9231500000000001,0.5151016714322748,1.4382516714322748
v2,deceptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.9286000000000002,0.7419521371997954,1.6705521371997956
v2,deceptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.68855,0.5785781176716402,1.2671281176716402
v2,deceptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.8616000000000001,0.5576588448316324,1.4192588448316328
v2,deceptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.9115,1.0,1.9115
v2,deceptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.9190000000000002,1.0,1.919
v2,deceptive,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6444444444444445,0.5352209343740162,1.1796653788184606
v2,deceptive,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.6666666666666666,0.5159425197774912,1.1826091864441577
v2,deceptive,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.6805555555555557,0.5163361481593582,1.1968917037149138
v2,deceptive,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.6194444444444445,0.7561103576921866,1.375554802136631
v2,deceptive,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7361111111111112,0.5098431165536981,1.2459542276648092
v2,deceptive,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.8055555555555556,0.4963881126770946,1.3019436682326502
v2,deceptive,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6472222222222224,0.5180969805299753,1.1653192027521975
v2,deceptive,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.7500000000000001,0.5635118067889784,1.3135118067889786
v2,deceptive,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.6861111111111111,0.7349161966534993,1.4210273077646103
v2,deceptive,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.7805555555555556,0.7590561134874003,1.539611669042956
v2,deceptive,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.8562091503267973,0.5530228345805823,1.4092319849073796
v2,deceptive,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.6768292682926829,0.778483750015788,1.4553130183084706
v2,deceptive,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5849673202614379,0.5458616744356615,1.1308289946970995
v2,deceptive,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.847560975609756,0.773495211390258,1.621056187000014
v2,deceptive,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.5751633986928104,0.5337479870451087,1.1089113857379194
v2,deceptive,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.6951219512195121,1.0,1.695121951219512
v2,deceptive,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7156862745098038,0.5488012762190635,1.2644875507288673
