agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v2,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6914498141263941,0.5606179760001893,1.2520677901265833
v2,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.6883561643835615,0.5751836364338603,1.263539800817422
v2,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5427509293680297,0.49593564244591026,1.03868657181394
v2,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5821917808219177,0.6015411183355305,1.183732899157448
v2,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6765799256505576,0.5602099514612122,1.2367898771117698
v2,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5821917808219177,0.6271587127449774,1.209350493566895
v2,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7100371747211895,0.5531438487558541,1.2631810234770438
v2,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6198630136986301,0.5568400629473655,1.1767030766459956
v2,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5684931506849314,0.5077322963830959,1.0762254470680275
v2,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.523972602739726,0.49471834687125193,1.0186909496109777
v2,learner,Amsterdam,BOANeg,examples.boa.BOANeg,example,first,2,0.7100371747211895,0.5388849883930052,1.248922163114195
v2,learner,Amsterdam,BOANeg,examples.boa.BOANeg,example,second,2,0.6215753424657533,0.5691877650499757,1.190763107515729
v2,learner,Amsterdam,MAPNeg,examples.map.MAPNeg,example,first,2,0.7100371747211895,0.5409248200270683,1.2509619947482578
v2,learner,Amsterdam,MAPNeg,examples.map.MAPNeg,example,second,2,0.6198630136986301,0.5738309082974545,1.1936939219960845
v2,learner,Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.6059479553903345,1.0,1.6059479553903344
v2,learner,Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.6369863013698629,1.0,1.636986301369863
v2,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6249789597710823,0.5502827811705963,1.1752617409416786
v2,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5841039740064985,0.5625785900477334,1.146682564054232
v2,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5324019525332435,0.5184742833230587,1.0508762358563022
v2,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.6685828542864285,0.5124316566469498,1.1810145109333783
v2,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7527352297592999,0.5584549544276156,1.3111901841869154
v2,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5841039740064985,0.5676294436653812,1.1517334176718796
v2,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6204342703248611,0.5461764716939306,1.1666107420187917
v2,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.5914771307173208,0.5542516279922267,1.1457287587095477
v2,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5358660334916271,0.4781812583241484,1.0140472918157755
v2,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5203699075231193,0.48000366738133154,1.000373574904451
v2,learner,Camera,BOANeg,examples.boa.BOANeg,example,first,2,0.6204342703248611,0.5503574364603507,1.170791706785212
v2,learner,Camera,BOANeg,examples.boa.BOANeg,example,second,2,0.6100974756310923,0.5477051444120025,1.1578026200430949
v2,learner,Camera,MAPNeg,examples.map.MAPNeg,example,first,2,0.6204342703248611,0.5495112367822126,1.1699455071070737
v2,learner,Camera,MAPNeg,examples.map.MAPNeg,example,second,2,0.6044738815296177,0.5468688298363302,1.151342711365948
v2,learner,Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.5324019525332435,1.0,1.5324019525332435
v2,learner,Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.5971007248187954,1.0,1.5971007248187954
v2,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.7295500000000001,0.5566727872882498,1.28622278728825
v2,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.7578,0.5635162788908092,1.3213162788908093
v2,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.70865,0.5748936149434107,1.2835436149434107
v2,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.7550000000000001,0.5596855666852734,1.3146855666852735
v2,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.5981000000000001,0.5836886730390526,1.1817886730390526
v2,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.6748000000000001,0.578938745393509,1.253738745393509
v2,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.8519000000000001,0.5717113118993584,1.4236113118993585
v2,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.8616000000000001,0.5583786321301165,1.4199786321301167
v2,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.9003000000000001,1.0,1.9003
v2,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.9104000000000001,0.7470310470561788,1.657431047056179
v2,learner,Car,BOANeg,examples.boa.BOANeg,example,first,2,0.8519000000000001,0.5554854832669585,1.4073854832669586
v2,learner,Car,BOANeg,examples.boa.BOANeg,example,second,2,0.7438000000000001,0.5667554688438122,1.3105554688438124
v2,learner,Car,MAPNeg,examples.map.MAPNeg,example,first,2,0.7813500000000001,0.5632451350324457,1.3445951350324457
v2,learner,Car,MAPNeg,examples.map.MAPNeg,example,second,2,0.7598000000000001,0.571580096723749,1.3313800967237492
v2,learner,Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.5899000000000001,1.0,1.5899
v2,learner,Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.6340000000000001,1.0,1.6340000000000001
v2,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6055555555555556,0.518540494167369,1.1240960497229247
v2,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.7500000000000001,0.5604482459867866,1.3104482459867866
