agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v2.firstseat,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.8234200743494424,0.5439215374459359,1.3673416117953785
v2.firstseat,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.6352739726027397,0.587917984020393,1.2231919566231326
v2.firstseat,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5278810408921932,0.5158090009128506,1.0436900418050439
v2.firstseat,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5821917808219177,0.621392406226202,1.2035841870481196
v2.firstseat,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6059479553903345,0.6141846755170499,1.2201326309073843
v2.firstseat,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5821917808219177,0.6264845623586146,1.2086763431805325
v2.firstseat,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7100371747211895,0.5838145816479066,1.2938517563690959
v2.firstseat,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6198630136986301,0.5816117955587844,1.2014748092574146
v2.firstseat,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.6133828996282528,0.5033878615585965,1.1167707611868491
v2.firstseat,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.6164383561643834,0.4875375418439157,1.103975898008299
v2.firstseat,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6249789597710823,0.5582309656658804,1.1832099254369628
v2.firstseat,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5841039740064985,0.5668519078189058,1.1509558818254044
v2.firstseat,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.2748695505807103,0.5264536180510722,0.8013231686317823
v2.firstseat,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.6044738815296177,0.4974109928206289,1.1018848743502465
v2.firstseat,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7527352297592999,0.5707534094300553,1.3234886391893552
v2.firstseat,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5841039740064985,0.5672749192468538,1.1513788932533522
v2.firstseat,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.5764181114290523,0.5725757819044601,1.1489938933335124
v2.firstseat,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.5971007248187954,0.5473948456355207,1.1444955704543158
v2.firstseat,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.48443023060090884,0.0,0.48443023060090884
v2.firstseat,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5229942514371407,0.7387840909282307,1.2617783423653715
v2.firstseat,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.67035,0.5638956238827728,1.2342456238827728
v2.firstseat,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.7578,0.5680960342528405,1.3258960342528407
v2.firstseat,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5786,0.5828024634830756,1.1614024634830757
v2.firstseat,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.6638000000000001,0.5940230341125521,1.257823034112552
v2.firstseat,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.8587,0.5726736389942836,1.4313736389942835
v2.firstseat,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.8616000000000001,0.5681837510826602,1.4297837510826603
v2.firstseat,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7902500000000001,0.5634396970580223,1.3536896970580226
v2.firstseat,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.8616000000000001,0.5509667668528748,1.412566766852875
v2.firstseat,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.7634500000000001,0.0,0.7634500000000001
v2.firstseat,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.9197000000000002,1.0,1.9197000000000002
v2.firstseat,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.588888888888889,0.5538861383069879,1.142775027195877
v2.firstseat,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.7500000000000001,0.5636786785775191,1.3136786785775192
v2.firstseat,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.588888888888889,0.5263824170691922,1.1152713059580812
v2.firstseat,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.7500000000000001,0.5387547249732012,1.2887547249732014
v2.firstseat,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.588888888888889,0.5538765490517161,1.1427654379406051
v2.firstseat,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.7500000000000001,0.599930193453764,1.349930193453764
v2.firstseat,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6138888888888889,0.5351336153961737,1.1490225042850626
v2.firstseat,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.7500000000000001,0.5601421759324205,1.3101421759324205
v2.firstseat,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5166666666666667,0.2588370691965601,0.7755037358632269
v2.firstseat,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.8305555555555556,0.7445481524137552,1.5751037079693107
v2.firstseat,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6666666666666667,0.5931105850974523,1.259777251764119
v2.firstseat,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.firstseat,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.33006535947712423,0.5205508261561731,0.8506161856332973
v2.firstseat,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5121951219512194,0.8047712035821848,1.3169663255334043
