agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v2.firstseat,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.7806691449814127,0.5597773096013015,1.3404464545827142
v2.firstseat,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5821917808219177,0.6174149335316369,1.1996067143535547
v2.firstseat,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5427509293680297,0.5135442171680148,1.0562951465360444
v2.firstseat,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5821917808219177,0.6019592055125397,1.1841509863344573
v2.firstseat,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6059479553903345,0.61386513725941,1.2198130926497446
v2.firstseat,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5821917808219177,0.6292100671398674,1.2114018479617852
v2.firstseat,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7100371747211895,0.550729907805953,1.2607670825271426
v2.firstseat,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6198630136986301,0.5644901438802392,1.1843531575788693
v2.firstseat,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.620817843866171,0.5002367086435355,1.1210545525097064
v2.firstseat,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5342465753424657,0.763575928040081,1.2978225033825468
v2.firstseat,learner,Amsterdam,BOANeg,examples.boa.BOANeg,example,first,2,0.7100371747211895,0.5739173102102109,1.2839544849314004
v2.firstseat,learner,Amsterdam,BOANeg,examples.boa.BOANeg,example,second,2,0.6780821917808219,0.5585642747719639,1.2366464665527857
v2.firstseat,learner,Amsterdam,MAPNeg,examples.map.MAPNeg,example,first,2,0.7100371747211895,0.5659229435187985,1.275960118239988
v2.firstseat,learner,Amsterdam,MAPNeg,examples.map.MAPNeg,example,second,2,0.6198630136986301,0.5720031722044789,1.191866185903109
v2.firstseat,learner,Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.6059479553903345,1.0,1.6059479553903344
v2.firstseat,learner,Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.5821917808219177,1.0,1.5821917808219177
v2.firstseat,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6249789597710823,0.5660930794851479,1.1910720392562302
v2.firstseat,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5841039740064985,0.5725609663349642,1.1566649403414626
v2.firstseat,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.4759299781181619,0.5243186763170076,1.0002486544351694
v2.firstseat,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.6629592601849539,0.503725948858812,1.1666852090437656
v2.firstseat,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7527352297592999,0.569719111934786,1.322454341694086
v2.firstseat,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5841039740064985,0.5726952271626855,1.1567992011691839
v2.firstseat,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.5764181114290523,0.5787271111248673,1.1551452225539196
v2.firstseat,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6653336665833542,0.5310691444240716,1.1964028110074256
v2.firstseat,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.4825786904561521,0.26199385687680954,0.7445725473329616
v2.firstseat,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5543614096475882,0.742384754455224,1.2967461641028122
v2.firstseat,learner,Camera,BOANeg,examples.boa.BOANeg,example,first,2,0.6204342703248611,0.5534209703677316,1.1738552406925926
v2.firstseat,learner,Camera,BOANeg,examples.boa.BOANeg,example,second,2,0.6044738815296177,0.5515233519472638,1.1559972334768815
v2.firstseat,learner,Camera,MAPNeg,examples.map.MAPNeg,example,first,2,0.6204342703248611,0.5646874336903165,1.1851217040151776
v2.firstseat,learner,Camera,MAPNeg,examples.map.MAPNeg,example,second,2,0.6653336665833542,0.5361645422704648,1.201498208853819
v2.firstseat,learner,Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.2595522639286315,1.0,1.2595522639286316
v2.firstseat,learner,Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.5841039740064985,1.0,1.5841039740064984
v2.firstseat,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6163000000000001,0.5634614442934122,1.1797614442934121
v2.firstseat,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.8496000000000001,0.5759764214070753,1.4255764214070754
v2.firstseat,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.6758500000000001,0.5459713357501939,1.221821335750194
v2.firstseat,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.7390000000000001,0.5699212465692705,1.3089212465692706
v2.firstseat,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.8587,0.5764007889418442,1.4351007889418441
v2.firstseat,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.8616000000000001,0.580052980664399,1.4416529806643992
v2.firstseat,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7108000000000001,0.5836098643048184,1.2944098643048187
v2.firstseat,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.8616000000000001,0.5569099016156065,1.4185099016156066
v2.firstseat,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.6292500000000001,0.0,0.6292500000000001
v2.firstseat,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.8756000000000002,1.0,1.8756000000000002
v2.firstseat,learner,Car,BOANeg,examples.boa.BOANeg,example,first,2,0.68345,0.5772213869122864,1.2606713869122865
v2.firstseat,learner,Car,BOANeg,examples.boa.BOANeg,example,second,2,0.8426000000000001,0.5684141369496801,1.4110141369496803
v2.firstseat,learner,Car,MAPNeg,examples.map.MAPNeg,example,first,2,0.6265000000000001,0.5736389403749687,1.2001389403749687
v2.firstseat,learner,Car,MAPNeg,examples.map.MAPNeg,example,second,2,0.8616000000000001,0.5625133496048457,1.4241133496048457
v2.firstseat,learner,Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.5899000000000001,1.0,1.5899
v2.firstseat,learner,Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.7860000000000001,1.0,1.786
v2.firstseat,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.588888888888889,0.5494221842768751,1.138311073165764
v2.firstseat,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.7500000000000001,0.5611302599119123,1.3111302599119123
v2.firstseat,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.588888888888889,0.5400985680479651,1.128987456936854
v2.firstseat,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.7500000000000001,0.5324973230549066,1.2824973230549068
v2.firstseat,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.588888888888889,0.5451176434193037,1.1340065323081927
v2.firstseat,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.7500000000000001,0.5725420209507283,1.3225420209507284
v2.firstseat,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6500000000000001,0.5379876585801286,1.1879876585801288
v2.firstseat,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.7500000000000001,0.5638862257145987,1.3138862257145987
v2.firstseat,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5944444444444446,0.4932816635417414,1.087726107986186
v2.firstseat,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.575,0.5282903802653527,1.1032903802653529
v2.firstseat,learner,Grocery,BOANeg,examples.boa.BOANeg,example,first,2,0.6472222222222224,0.5301631576111716,1.177385379833394
v2.firstseat,learner,Grocery,BOANeg,examples.boa.BOANeg,example,second,2,0.7500000000000001,0.557580306143623,1.307580306143623
v2.firstseat,learner,Grocery,MAPNeg,examples.map.MAPNeg,example,first,2,0.6472222222222224,0.5339337995611321,1.1811560217833543
v2.firstseat,learner,Grocery,MAPNeg,examples.map.MAPNeg,example,second,2,0.7500000000000001,0.5748789434248331,1.3248789434248334
v2.firstseat,learner,Grocery,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.588888888888889,1.0,1.588888888888889
v2.firstseat,learner,Grocery,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.7500000000000001,1.0,1.75
v2.firstseat,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6666666666666667,0.5849582862821198,1.2516249529487866
v2.firstseat,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.firstseat,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.38235294117647056,0.5167564004957197,0.8991093416721903
v2.firstseat,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.firstseat,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.6666666666666667,0.6015873227683153,1.268253989434982
v2.firstseat,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.firstseat,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7156862745098038,0.5794092551027075,1.2950955296125113
v2.firstseat,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.firstseat,sparring,ISBTAcquisition,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.7973856209150326,0.5053211864552866,1.3027068073703192
v2.firstseat,sparring,ISBTAcquisition,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.6646341463414633,0.7542356194339801,1.4188697657754434
v2.firstseat,learner,ISBTAcquisition,BOANeg,examples.boa.BOANeg,example,first,2,0.6568627450980393,0.5783413876741159,1.235204132772155
v2.firstseat,learner,ISBTAcquisition,BOANeg,examples.boa.BOANeg,example,second,2,0.5121951219512194,0.8077735803839289,1.3199687023351483
v2.firstseat,learner,ISBTAcquisition,MAPNeg,examples.map.MAPNeg,example,first,2,0.7026143790849673,0.5691223606936973,1.2717367397786643
v2.firstseat,learner,ISBTAcquisition,MAPNeg,examples.map.MAPNeg,example,second,2,0.5121951219512194,1.0,1.5121951219512195
v2.firstseat,learner,ISBTAcquisition,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.6666666666666667,1.0,1.6666666666666667
v2.firstseat,learner,ISBTAcquisition,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.5182926829268292,1.0,1.5182926829268293
v2.firstseat,sparring,Laptop,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.5775524426410947,0.5763867969143919,1.1539392395554868
v2.firstseat,sparring,Laptop,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5136317604069089,0.7974248762154907,1.3110566366224
v2.firstseat,sparring,Laptop,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5775524426410947,0.5762505546568467,1.1538029972979416
v2.firstseat,sparring,Laptop,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5136317604069089,0.5686563383039291,1.082288098710838
v2.firstseat,sparring,Laptop,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.5775524426410947,0.5831319865618125,1.1606844292029073
v2.firstseat,sparring,Laptop,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5136317604069089,0.7837902795742193,1.2974220399811283
v2.firstseat,sparring,Laptop,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.5775524426410947,0.5701346801552386,1.1476871227963334
v2.firstseat,sparring,Laptop,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.5136317604069089,0.7928699209534327,1.3065016813603414
v2.firstseat,sparring,Laptop,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.7950796447121322,0.5085847622713734,1.3036644069835055
v2.firstseat,sparring,Laptop,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.6982753390355798,0.7620291828462974,1.460304521881877
v2.firstseat,learner,Laptop,BOANeg,examples.boa.BOANeg,example,first,2,0.5775524426410947,0.2968225460374257,0.8743749886785204
v2.firstseat,learner,Laptop,BOANeg,examples.boa.BOANeg,example,second,2,0.5136317604069089,0.545620362274565,1.059252122681474
v2.firstseat,learner,Laptop,MAPNeg,examples.map.MAPNeg,example,first,2,0.5775524426410947,0.5976148508140695,1.1751672934551642
v2.firstseat,learner,Laptop,MAPNeg,examples.map.MAPNeg,example,second,2,0.5136317604069089,0.5738829818513926,1.0875147422583016
v2.firstseat,learner,Laptop,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.5775524426410947,1.0,1.5775524426410947
v2.firstseat,learner,Laptop,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.5136317604069089,1.0,1.513631760406909
v2.firstseat,sparring,NiceOrDie,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.1654761904761905,0.6,0.7654761904761904
v2.firstseat,sparring,NiceOrDie,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.1654761904761905,0.5,0.6654761904761906
v2.firstseat,sparring,NiceOrDie,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.0,0.5263279498407772,0.5263279498407772
v2.firstseat,sparring,NiceOrDie,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.0,0.4759591794226542,0.4759591794226542
v2.firstseat,sparring,NiceOrDie,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.1654761904761905,0.6,0.7654761904761904
v2.firstseat,sparring,NiceOrDie,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.1654761904761905,0.6,0.7654761904761904
v2.firstseat,sparring,NiceOrDie,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.1654761904761905,0.6,0.7654761904761904
v2.firstseat,sparring,NiceOrDie,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.1654761904761905,0.5,0.6654761904761906
v2.firstseat,sparring,NiceOrDie,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.1654761904761905,0.0,0.1654761904761905
v2.firstseat,sparring,NiceOrDie,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.1654761904761905,1.0,1.1654761904761906
v2.firstseat,learner,NiceOrDie,BOANeg,examples.boa.BOANeg,example,first,2,0.1654761904761905,0.6,0.7654761904761904
v2.firstseat,learner,NiceOrDie,BOANeg,examples.boa.BOANeg,example,second,2,0.1654761904761905,0.5240408205773457,0.6895170110535362
v2.firstseat,learner,NiceOrDie,MAPNeg,examples.map.MAPNeg,example,first,2,0.1654761904761905,0.6,0.7654761904761904
v2.firstseat,learner,NiceOrDie,MAPNeg,examples.map.MAPNeg,example,second,2,0.1654761904761905,0.5,0.6654761904761906
v2.firstseat,learner,NiceOrDie,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.1654761904761905,1.0,1.1654761904761906
v2.firstseat,learner,NiceOrDie,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.1654761904761905,1.0,1.1654761904761906
