agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v2.adaptive,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,1,0.5947955390334573,0.5321456632501778,1.1269412022836351
v2.adaptive,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,1,0.5821917808219177,0.6119188073694222,1.1941105881913399
v2.adaptive,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,1,0.5278810408921932,0.4905660031857404,1.0184470440779336
v2.adaptive,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,1,0.5821917808219177,0.5481374556119483,1.130329236433866
v2.adaptive,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,1,0.7472118959107806,0.5294994486198917,1.2767113445306724
v2.adaptive,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,1,0.5821917808219177,0.6270249775253192,1.2092167583472369
v2.adaptive,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,1,0.7100371747211895,0.5520457420184095,1.262082916739599
v2.adaptive,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,1,0.6198630136986301,0.5610599561552411,1.1809229698538712
v2.adaptive,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,1,0.5724907063197026,0.5041124061843478,1.0766031125040505
v2.adaptive,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,1,0.6301369863013698,1.0,1.6301369863013697
v2.adaptive,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,1,0.6249789597710823,0.5589587339201907,1.183937693691273
v2.adaptive,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,1,0.5841039740064985,0.5604494388127097,1.1445534128192083
v2.adaptive,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,1,0.5324019525332435,0.5132894198117778,1.0456913723450212
v2.adaptive,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,1,0.5988502874281431,0.507195901907015,1.106046189335158
v2.adaptive,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,1,0.7527352297592999,0.5560979899483088,1.3088332197076087
v2.adaptive,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,1,0.5841039740064985,0.56949044789471,1.1535944219012086
v2.adaptive,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,1,0.6204342703248611,0.5521337140657947,1.1725679843906558
v2.adaptive,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,1,0.5988502874281431,0.5437756798063498,1.1426259672344927
v2.adaptive,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,1,0.5095101834707961,0.4942802712954853,1.0037904547662815
v2.adaptive,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,1,0.48187953011747064,0.4845091760517164,0.966388706169187
v2.adaptive,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,1,0.6316,0.5444130987155729,1.1760130987155728
v2.adaptive,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,1,0.8496000000000001,0.5637577328971606,1.4133577328971607
v2.adaptive,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,1,0.7064,0.5883691936861122,1.294769193686112
v2.adaptive,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,1,0.664,0.5681302347871294,1.2321302347871295
v2.adaptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,1,0.8587,0.5801418273809574,1.4388418273809576
v2.adaptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,1,0.6796000000000001,0.571364791529306,1.250964791529306
v2.adaptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,1,0.8519000000000001,0.5651906562153919,1.417090656215392
v2.adaptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,1,0.8616000000000001,0.5714360875891128,1.4330360875891128
v2.adaptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,1,0.5776,0.0,0.5776
v2.adaptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,1,0.9216000000000001,1.0,1.9216000000000002
v2.adaptive,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,1,0.588888888888889,0.5450435993736715,1.1339324882625605
v2.adaptive,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,1,0.7500000000000001,0.5712901436851058,1.3212901436851059
v2.adaptive,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,1,0.6555555555555557,0.4798961431731402,1.135451698728696
v2.adaptive,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,1,0.7500000000000001,0.5294537147344056,1.2794537147344056
v2.adaptive,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,first,1,0.588888888888889,0.5526730323463237,1.1415619212352128
