agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v3,deceptive,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6245353159851301,0.5009693937163346,1.1255047097014648
v3,deceptive,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.6746575342465754,0.7656992213363407,1.4403567555829162
v3,deceptive,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5111524163568772,0.5323189328469244,1.0434713492038017
v3,deceptive,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.720890410958904,0.5275077867331592,1.2483981976920633
v3,deceptive,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.516728624535316,0.5654433620289998,1.0821719865643158
v3,deceptive,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.6147260273972602,0.7597046766937028,1.3744307040909631
v3,deceptive,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7100371747211895,0.5551930603688409,1.2652302350900304
v3,deceptive,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6198630136986301,0.5671637333295987,1.1870267470282287
v3,deceptive,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.4795539033457249,0.2560006443014023,0.7355545476471272
v3,deceptive,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5308219178082192,0.7517092565553272,1.2825311743635464
v3,deceptive,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6872580373674466,0.5358593095784229,1.2231173469458694
v3,deceptive,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.6812046988252938,0.7597161205257479,1.4409208193510417
v3,deceptive,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.6446726140380408,0.5430346407622275,1.1877072548002683
v3,deceptive,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.6152211947013246,0.5001541237850626,1.1153753184863873
v3,deceptive,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7279919205520957,0.5206607716356482,1.2486526921877439
v3,deceptive,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5729817545613597,0.5037897601412313,1.0767715147025911
v3,deceptive,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.5764181114290523,0.5568473813732284,1.1332654928022805
v3,deceptive,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6044738815296177,0.5443180048667633,1.1487918863963809
v3,deceptive,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.48594512708298254,0.2656464680731723,0.7515915951561549
v3,deceptive,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5228692826793302,0.4799766377316352,1.0028459204109654
v3,deceptive,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.8922500000000001,0.5404915016041154,1.4327415016041156
v3,deceptive,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.8568,1.0,1.8568000000000002
v3,deceptive,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.8510500000000001,0.5175167923858232,1.3685667923858231
v3,deceptive,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.9154000000000001,1.0,1.9154
v3,deceptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.8672500000000001,0.48126587437180596,1.348515874371806
v3,deceptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.918,0.7339569333416731,1.651956933341673
v3,deceptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7813500000000001,0.5707235206917491,1.3520735206917494
v3,deceptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.8616000000000001,0.5642799241084367,1.425879924108437
v3,deceptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.7666,0.2559841175948102,1.0225841175948103
v3,deceptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.9423000000000001,1.0,1.9423000000000001
v3,deceptive,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.4833333333333334,0.5306208896086311,1.0139542229419645
v3,deceptive,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.8333333333333334,1.0,1.8333333333333335
v3,deceptive,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5944444444444446,0.5043214651293463,1.0987659095737907
v3,deceptive,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.8777777777777778,0.7590501758553735,1.6368279536331514
