agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v3,deceptive,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.58271375464684,0.5259101840857426,1.1086239387325827
v3,deceptive,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.6583904109589042,0.651012917209227,1.309403328168131
v3,deceptive,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.5957249070631969,0.5191027095810365,1.1148276166442335
v3,deceptive,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.6404109589041096,0.6612699520972977,1.3016809110014074
v3,deceptive,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.5548327137546468,0.5254941749391624,1.080326888693809
v3,deceptive,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.6464041095890412,0.6404614722453061,1.286865581834347
v3,deceptive,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.7053903345724906,0.5450299569805742,1.2504202915530649
v3,deceptive,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.6198630136986301,0.5714018102720736,1.1912648239707035
v3,deceptive,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.5706319702602229,0.3688332166082256,0.9394651868684485
v3,deceptive,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.6027397260273972,0.7606341407439661,1.3633738667713633
v3,deceptive,learner,Amsterdam,BOANeg,examples.boa.BOANeg,example,first,4,0.7100371747211895,0.5435521826054109,1.2535893573266006
v3,deceptive,learner,Amsterdam,BOANeg,examples.boa.BOANeg,example,second,4,0.6421232876712328,0.5671680241276595,1.2092913117988924
v3,deceptive,learner,Amsterdam,MAPNeg,examples.map.MAPNeg,example,first,4,0.7100371747211895,0.5507195852680675,1.260756759989257
v3,deceptive,learner,Amsterdam,MAPNeg,examples.map.MAPNeg,example,second,4,0.6258561643835616,0.5620325905110446,1.1878887548946062
v3,deceptive,learner,Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.5864312267657992,1.0,1.5864312267657992
v3,deceptive,learner,Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.5821917808219177,1.0,1.5821917808219177
v3,deceptive,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.7279498400942603,0.5379358311024114,1.2658856711966715
v3,deceptive,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.6697075731067234,0.7406492249401438,1.4103567980468672
v3,deceptive,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.6041070526847332,0.5345657616312847,1.1386728143160179
v3,deceptive,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.6282179455136216,0.6252710427912684,1.25348898830489
v3,deceptive,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.6242215115300455,0.5369726748410555,1.1611941863711008
v3,deceptive,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.6553986503374156,0.8743279676907487,1.5297266180281643
v3,deceptive,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.5984261908769567,0.5571098797320418,1.1555360706089988
v3,deceptive,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.6284053986503375,0.5402989871027655,1.168704385753103
v3,deceptive,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.5332856421477865,0.26120524165776465,0.7944908838055511
v3,deceptive,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.5606723319170208,0.866680929692853,1.4273532616098739
v3,deceptive,learner,Camera,BOANeg,examples.boa.BOANeg,example,first,4,0.6204342703248611,0.5488392198688015,1.1692734901936626
v3,deceptive,learner,Camera,BOANeg,examples.boa.BOANeg,example,second,4,0.634903774056486,0.5433564147284438,1.1782601887849298
v3,deceptive,learner,Camera,MAPNeg,examples.map.MAPNeg,example,first,4,0.6570442686416428,0.5453044887060581,1.2023487573477007
v3,deceptive,learner,Camera,MAPNeg,examples.map.MAPNeg,example,second,4,0.6044738815296177,0.544914663123802,1.1493885446534196
v3,deceptive,learner,Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.38314256859114626,1.0,1.3831425685911463
v3,deceptive,learner,Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.5841039740064985,1.0,1.5841039740064984
v3,deceptive,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.7507500000000001,0.5270798115751669,1.277829811575167
v3,deceptive,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.8872000000000001,0.8646084387035251,1.751808438703525
v3,deceptive,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.8229000000000001,0.49532436444421757,1.3182243644442175
v3,deceptive,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.8407500000000001,0.8594011707867103,1.7001511707867103
v3,deceptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.7758,0.536534877026327,1.312334877026327
v3,deceptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.9313000000000002,1.0,1.9313000000000002
v3,deceptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.772775,0.5622223640530892,1.3349973640530894
v3,deceptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.7558000000000001,0.576583853163767,1.332383853163767
v3,deceptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.7539750000000001,0.12950586167865624,0.8834808616786562
v3,deceptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.9326,0.7273936209113325,1.6599936209113326
v3,deceptive,learner,Car,BOANeg,examples.boa.BOANeg,example,first,4,0.7517,0.5716906425613208,1.3233906425613209
v3,deceptive,learner,Car,BOANeg,examples.boa.BOANeg,example,second,4,0.8107000000000002,0.574132552115671,1.3848325521156712
v3,deceptive,learner,Car,MAPNeg,examples.map.MAPNeg,example,first,4,0.7383500000000001,0.5674157414740421,1.3057657414740422
v3,deceptive,learner,Car,MAPNeg,examples.map.MAPNeg,example,second,4,0.7077000000000001,0.567635370800049,1.275335370800049
v3,deceptive,learner,Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.5899000000000001,1.0,1.5899
v3,deceptive,learner,Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.7460000000000001,1.0,1.746
