agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v3,stress,baseline,Amsterdam,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
v3,stress,baseline,Amsterdam,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,second,2,0.6198630136986301,1.0,1.61986301369863
v3,stress,baseline,Amsterdam,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,first,2,0.7546468401486989,1.0,1.7546468401486988
v3,stress,baseline,Amsterdam,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,second,2,0.6267123287671232,1.0,1.6267123287671232
v3,stress,baseline,Amsterdam,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,first,2,0.4851301115241635,1.0,1.4851301115241635
v3,stress,baseline,Amsterdam,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,second,2,0.5787671232876711,1.0,1.5787671232876712
v3,stress,baseline,Amsterdam,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,first,2,0.30855018587360594,1.0,1.308550185873606
v3,stress,baseline,Amsterdam,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,second,2,0.47260273972602734,1.0,1.4726027397260273
v3,stress,baseline,Amsterdam,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,first,2,0.6802973977695167,1.0,1.6802973977695168
v3,stress,baseline,Amsterdam,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.6455479452054794,1.0,1.6455479452054793
v3,stress,baseline,Amsterdam,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
v3,stress,baseline,Amsterdam,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.6232876712328766,1.0,1.6232876712328768
v3,stress,baseline,Amsterdam,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.5483271375464684,1.0,1.5483271375464684
v3,stress,baseline,Amsterdam,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.6095890410958904,1.0,1.6095890410958904
v3,stress,baseline,Amsterdam,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,first,2,0.5539033457249071,1.0,1.553903345724907
v3,stress,baseline,Amsterdam,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,second,2,0.7431506849315068,1.0,1.7431506849315068
v3,stress,baseline,Amsterdam,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,first,2,0.5464684014869888,0.5336071955860712,1.08007559707306
v3,stress,baseline,Amsterdam,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,second,2,0.696917808219178,0.5655539534857612,1.2624717617049392
v3,stress,baseline,Amsterdam,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,first,2,0.483271375464684,0.5432459496378818,1.0265173251025659
v3,stress,baseline,Amsterdam,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,second,2,0.5496575342465753,0.5669580912604567,1.1166156255070319
v3,stress,baseline,Amsterdam,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,first,2,0.7100371747211895,1.0,1.7100371747211895
v3,stress,baseline,Amsterdam,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,second,2,0.6198630136986301,1.0,1.61986301369863
v3,stress,baseline,Amsterdam,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,first,2,0.7100371747211895,1.0,1.7100371747211895
v3,stress,baseline,Amsterdam,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,second,2,0.6352739726027397,1.0,1.6352739726027399
v3,stress,baseline,Camera,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,first,2,0.6204342703248611,1.0,1.620434270324861
v3,stress,baseline,Camera,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,second,2,0.6100974756310923,1.0,1.6100974756310924
v3,stress,baseline,Camera,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,first,2,0.8845312236997138,1.0,1.8845312236997138
v3,stress,baseline,Camera,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,second,2,0.6543364158960261,1.0,1.654336415896026
v3,stress,baseline,Camera,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,first,2,0.6241373506143746,1.0,1.6241373506143746
v3,stress,baseline,Camera,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,second,2,0.5606098475381156,1.0,1.5606098475381156
v3,stress,baseline,Camera,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,first,2,0.26931493014644,1.0,1.26931493014644
v3,stress,baseline,Camera,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,second,2,0.4558860284928768,1.0,1.4558860284928767
v3,stress,baseline,Camera,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,first,2,0.6204342703248611,1.0,1.620434270324861
v3,stress,baseline,Camera,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.6100974756310923,1.0,1.6100974756310924
v3,stress,baseline,Camera,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.6805251641137855,1.0,1.6805251641137855
v3,stress,baseline,Camera,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.6100974756310923,1.0,1.6100974756310924
v3,stress,baseline,Camera,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.7033327722605622,1.0,1.7033327722605622
v3,stress,baseline,Camera,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.5841039740064985,1.0,1.5841039740064984
v3,stress,baseline,Camera,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,first,2,0.26275037872412055,0.5,0.7627503787241205
v3,stress,baseline,Camera,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,second,2,0.7054486378405399,1.0,1.70544863784054
v3,stress,baseline,Camera,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,first,2,0.4825786904561521,0.6212695242403017,1.1038482146964537
v3,stress,baseline,Camera,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,second,2,0.5621094726318421,0.6160453484407502,1.1781548210725923
v3,stress,baseline,Camera,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,first,2,0.4899848510351792,0.6207351338413228,1.1107199848765021
v3,stress,baseline,Camera,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,second,2,0.6569607598100475,0.6135388243566919,1.2704995841667395
v3,stress,baseline,Camera,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,first,2,0.6204342703248611,1.0,1.620434270324861
v3,stress,baseline,Camera,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,second,2,0.6174706323419146,1.0,1.6174706323419146
v3,stress,baseline,Camera,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,first,2,0.6204342703248611,1.0,1.620434270324861
v3,stress,baseline,Camera,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,second,2,0.5971007248187954,1.0,1.5971007248187954
v3,stress,baseline,Car,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,first,2,0.7375,1.0,1.7375
v3,stress,baseline,Car,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,second,2,0.7408000000000001,1.0,1.7408000000000001
v3,stress,baseline,Car,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,first,2,0.6848500000000001,0.0,0.6848500000000001
v3,stress,baseline,Car,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,second,2,0.9787999999999999,1.0,1.9788
v3,stress,baseline,Car,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,first,2,0.7371000000000001,1.0,1.7370999999999999
v3,stress,baseline,Car,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,second,2,0.8128000000000002,1.0,1.8128000000000002
v3,stress,baseline,Car,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,first,2,0.0,1.0,1.0
v3,stress,baseline,Car,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,second,2,0.0,1.0,1.0
v3,stress,baseline,Car,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,first,2,0.7775000000000001,1.0,1.7775
v3,stress,baseline,Car,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.7698,1.0,1.7698
v3,stress,baseline,Car,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.79665,1.0,1.79665
v3,stress,baseline,Car,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.8716000000000002,1.0,1.8716000000000002
v3,stress,baseline,Car,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.7081000000000002,1.0,1.7081
v3,stress,baseline,Car,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.6878000000000002,1.0,1.6878000000000002
v3,stress,baseline,Car,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,first,2,0.48300000000000004,0.5,0.9830000000000001
v3,stress,baseline,Car,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,second,2,0.6909000000000001,1.0,1.6909
v3,stress,baseline,Car,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,first,2,0.85045,0.48566529047784424,1.3361152904778444
v3,stress,baseline,Car,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,second,2,0.8149000000000001,0.4919636673487162,1.3068636673487162
v3,stress,baseline,Car,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,first,2,0.9103000000000001,0.48566529047784424,1.3959652904778443
v3,stress,baseline,Car,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,second,2,0.7277,0.4919636673487162,1.2196636673487162
v3,stress,baseline,Car,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,first,2,0.8519000000000001,1.0,1.8519
v3,stress,baseline,Car,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,second,2,0.8616000000000001,1.0,1.8616000000000001
v3,stress,baseline,Car,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,first,2,0.80805,1.0,1.8080500000000002
v3,stress,baseline,Car,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,second,2,0.8418000000000001,1.0,1.8418
v3,stress,baseline,Grocery,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,first,2,0.588888888888889,1.0,1.588888888888889
v3,stress,baseline,Grocery,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,second,2,0.7500000000000001,1.0,1.75
v3,stress,baseline,Grocery,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,first,2,0.5750000000000001,0.5,1.0750000000000002
v3,stress,baseline,Grocery,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,second,2,0.638888888888889,1.0,1.6388888888888888
v3,stress,baseline,Grocery,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,first,2,0.588888888888889,1.0,1.588888888888889
v3,stress,baseline,Grocery,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,second,2,0.7500000000000001,1.0,1.75
v3,stress,baseline,Grocery,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,first,2,0.38888888888888895,1.0,1.3888888888888888
v3,stress,baseline,Grocery,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,second,2,0.47222222222222227,1.0,1.4722222222222223
v3,stress,baseline,Grocery,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,first,2,0.588888888888889,1.0,1.588888888888889
v3,stress,baseline,Grocery,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.7500000000000001,1.0,1.75
v3,stress,baseline,Grocery,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.7055555555555557,1.0,1.7055555555555557
v3,stress,baseline,Grocery,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.7500000000000001,1.0,1.75
v3,stress,baseline,Grocery,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.5611111111111111,1.0,1.5611111111111113
v3,stress,baseline,Grocery,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.6666666666666667,1.0,1.6666666666666665
