agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v4.2,stress,baseline,Amsterdam,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
v4.2,stress,baseline,Amsterdam,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,second,2,0.6198630136986301,1.0,1.61986301369863
v4.2,stress,baseline,Amsterdam,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,first,2,0.7546468401486989,1.0,1.7546468401486988
v4.2,stress,baseline,Amsterdam,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,second,2,0.6267123287671232,1.0,1.6267123287671232
v4.2,stress,baseline,Amsterdam,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,first,2,0.5464684014869888,1.0,1.546468401486989
v4.2,stress,baseline,Amsterdam,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,second,2,0.631849315068493,1.0,1.631849315068493
v4.2,stress,baseline,Amsterdam,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,first,2,0.30855018587360594,1.0,1.308550185873606
v4.2,stress,baseline,Amsterdam,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,second,2,0.47260273972602734,1.0,1.4726027397260273
v4.2,stress,baseline,Amsterdam,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,first,2,0.6672862453531598,1.0,1.6672862453531598
v4.2,stress,baseline,Amsterdam,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.6198630136986301,1.0,1.61986301369863
v4.2,stress,baseline,Amsterdam,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.6189591078066914,1.0,1.6189591078066914
v4.2,stress,baseline,Amsterdam,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.6198630136986301,1.0,1.61986301369863
v4.2,stress,baseline,Amsterdam,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.5427509293680297,1.0,1.5427509293680297
v4.2,stress,baseline,Amsterdam,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.5171232876712328,1.0,1.5171232876712328
v4.2,stress,baseline,Amsterdam,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,first,2,0.5650557620817844,0.5,1.0650557620817844
v4.2,stress,baseline,Amsterdam,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,second,2,0.7414383561643836,1.0,1.7414383561643834
v4.2,stress,baseline,Amsterdam,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,first,2,0.4795539033457249,0.5492822481261607,1.0288361514718856
v4.2,stress,baseline,Amsterdam,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,second,2,0.547945205479452,0.5666448361974468,1.1145900416768986
v4.2,stress,baseline,Amsterdam,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,first,2,0.6505576208178437,0.541463507641099,1.1920211284589426
