panel,agent,scenario,opponent,role,advantage,concealing,score
learners,v4.2,Amsterdam,BOANeg,first,0.7100371747211897,0.5559593877906004,1.2659965625117902
learners,v4.2,Amsterdam,BOANeg,second,0.6198630136986301,0.5733678419139082,1.1932308556125382
learners,v4.2,Amsterdam,MAPNeg,first,0.681536555142503,0.5657755229718391,1.247312078114342
learners,v4.2,Amsterdam,MAPNeg,second,0.6198630136986301,0.5854375900027606,1.2053006037013907
learners,v4.2,Amsterdam,MiCRONegotiator,first,0.6084262701363073,1.0,1.6084262701363075
learners,v4.2,Amsterdam,MiCRONegotiator,second,0.5605022831050227,1.0,1.5605022831050228
learners,v4.2,Camera,BOANeg,first,0.6204342703248611,0.537951941763104,1.158386212087965
learners,v4.2,Camera,BOANeg,second,0.6285095392818464,0.5581825733500245,1.1866921126318708
learners,v4.2,Camera,MAPNeg,first,0.6204342703248611,0.5407737339467514,1.1612080042716126
learners,v4.2,Camera,MAPNeg,second,0.6334249770890611,0.5474103694726881,1.1808353465617492
learners,v4.2,Camera,MiCRONegotiator,first,0.3341188352129271,1.0,1.3341188352129272
learners,v4.2,Camera,MiCRONegotiator,second,0.5927684745480297,1.0,1.5927684745480297
learners,v4.2,Car,BOANeg,first,0.7016333333333334,0.558330660123242,1.2599639934565754
learners,v4.2,Car,BOANeg,second,0.7962666666666668,0.5652528027820041,1.3615194694486707
learners,v4.2,Car,MAPNeg,first,0.8519000000000001,0.6648781194973967,1.5167781194973966
learners,v4.2,Car,MAPNeg,second,0.7937333333333335,0.5776105086533324,1.371343841986666
learners,v4.2,Car,MiCRONegotiator,first,0.5831000000000002,1.0,1.5831000000000002
learners,v4.2,Car,MiCRONegotiator,second,0.7860000000000001,1.0,1.7860000000000003
learners,v4.2,Grocery,BOANeg,first,0.6444444444444445,0.5196077540299681,1.1640521984744128
learners,v4.2,Grocery,BOANeg,second,0.7500000000000001,0.5531297933238156,1.3031297933238157
learners,v4.2,Grocery,MAPNeg,first,0.7222222222222223,0.5115000085480269,1.2337222307702493
learners,v4.2,Grocery,MAPNeg,second,0.7500000000000001,0.5624907573949907,1.3124907573949909
learners,v4.2,Grocery,MiCRONegotiator,first,0.6555555555555557,1.0,1.6555555555555557
learners,v4.2,Grocery,MiCRONegotiator,second,0.7500000000000001,1.0,1.75
learners,v4.2,ISBTAcquisition,BOANeg,first,0.6339869281045752,0.5568025996001156,1.1907895277046907
learners,v4.2,ISBTAcquisition,BOANeg,second,0.5121951219512194,0.871849053589286,1.3840441755405053
learners,v4.2,ISBTAcquisition,MAPNeg,first,0.6078431372549019,0.5540258120250625,1.1618689492799645
learners,v4.2,ISBTAcquisition,MAPNeg,second,0.5121951219512194,0.871849053589286,1.3840441755405053
learners,v4.2,ISBTAcquisition,MiCRONegotiator,first,0.6666666666666666,1.0,1.6666666666666667
learners,v4.2,ISBTAcquisition,MiCRONegotiator,second,0.5121951219512194,1.0,1.5121951219512197
learners,v4.2,Laptop,BOANeg,first,0.5775524426410947,0.3898836151735366,0.9674360578146314
learners,v4.2,Laptop,BOANeg,second,0.5136317604069089,0.709896639781189,1.223528400188098
learners,v4.2,Laptop,MAPNeg,first,0.5775524426410947,0.5409096385775362,1.118462081218631
learners,v4.2,Laptop,MAPNeg,second,0.5136317604069089,0.5923679668737983,1.1059997272807074
learners,v4.2,Laptop,MiCRONegotiator,first,0.5473200910104512,0.6666666666666666,1.213986757677118
learners,v4.2,Laptop,MiCRONegotiator,second,0.6757545069379395,1.0,1.6757545069379394
learners,v4.2,NiceOrDie,BOANeg,first,0.0,0.5766967202589003,0.5766967202589003
learners,v4.2,NiceOrDie,BOANeg,second,0.0,0.5095383597014029,0.5095383597014029
learners,v4.2,NiceOrDie,MAPNeg,first,0.0,0.5766967202589003,0.5766967202589003
learners,v4.2,NiceOrDie,MAPNeg,second,0.0,0.5431175399801517,0.5431175399801517
